Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings
1.0,0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,10.0
0.0,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,9.0
0.0,0.495,0.39,0.14,0.495,0.2075,0.0915,0.185,7.0
2.0,0.11,0.09,0.05,0.008,0.0025,0.002,0.003,10.0
2.0,0.175,0.125,0.05,0.0235,0.008,0.0035,0.008,7.0
2.0,0.47,0.38,0.125,0.4475,0.211,0.1075,0.142,6.0
2.0,0.3,0.225,0.075,0.1345,0.057,0.028,0.044,4.0
1.0,0.555,0.425,0.145,0.7605,0.3345,0.209,0.24,12.0
0.0,0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145,7.0
0.0,0.635,0.495,0.175,1.2355,0.5205,0.3085,0.347,10.0
2.0,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,6.0
0.0,0.445,0.32,0.12,0.414,0.199,0.09,0.117,5.0
1.0,0.635,0.47,0.155,1.156,0.428,0.289,0.315,18.0
2.0,0.365,0.28,0.085,0.197,0.0865,0.0325,0.065,7.0
2.0,0.335,0.245,0.095,0.2015,0.096,0.0405,0.048,5.0
1.0,0.56,0.445,0.165,0.981,0.414,0.2245,0.305,10.0
2.0,0.535,0.4,0.14,0.601,0.2625,0.1285,0.1835,7.0
2.0,0.365,0.265,0.08,0.192,0.081,0.0465,0.053,3.0
0.0,0.625,0.49,0.215,1.205,0.5175,0.3105,0.3465,10.0
0.0,0.565,0.465,0.14,1.0055,0.3785,0.244,0.265,14.0
1.0,0.52,0.38,0.14,0.525,0.1775,0.115,0.185,9.0
0.0,0.655,0.55,0.145,1.0055,0.586,0.281,0.365,12.0
0.0,0.635,0.505,0.16,1.289,0.6145,0.253,0.3665,5.0
2.0,0.395,0.29,0.095,0.3,0.158,0.068,0.078,3.0
0.0,0.575,0.435,0.13,1.0105,0.368,0.222,0.32,15.0
2.0,0.525,0.4,0.13,0.5765,0.2625,0.1285,0.1835,9.0
2.0,0.365,0.255,0.085,0.1985,0.0815,0.0345,0.053,7.0
