age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
36,3,246827,11,9,4,7,3,2,0,0,0,38,38,0
33,3,289002,11,13,2,10,0,3,0,0,0,44,27,1
54,3,109760,11,9,1,10,4,3,1,0,0,39,38,0
63,1,188574,11,9,5,0,3,4,1,0,0,36,38,1
44,3,349178,8,11,2,9,0,4,0,0,1466,41,38,1
30,3,175761,8,12,3,3,1,4,1,0,230,41,38,1
29,2,139868,9,13,4,6,3,2,1,0,0,40,38,0
43,3,167014,9,12,3,9,0,4,0,0,0,40,38,1
20,3,272808,12,9,4,7,3,4,0,0,0,23,38,0
26,1,287332,9,13,2,9,4,2,0,0,0,40,37,1
29,1,282049,10,12,1,7,4,2,0,0,387,47,33,1
42,3,134267,10,9,1,9,1,4,0,0,0,26,38,1
32,3,339497,9,12,2,4,0,4,0,0,0,40,38,1
51,3,167035,12,9,2,0,3,1,0,0,0,40,40,0
39,3,203786,10,9,2,5,0,4,0,0,0,39,38,1
29,2,144439,9,13,4,10,2,3,0,0,0,40,38,0
50,5,115872,12,11,2,7,1,4,0,0,0,25,38,0
36,5,212227,8,12,2,1,5,4,1,0,0,21,38,1
67,3,126596,11,9,1,5,0,4,0,0,0,25,38,0
25,3,149947,2,6,3,9,2,3,0,0,0,40,38,0
43,3,214823,10,12,3,6,2,4,1,0,1773,45,38,1
40,5,266414,14,10,0,3,1,4,0,271,1535,69,19,1
50,2,72667,9,12,0,10,1,4,0,0,0,44,38,0
28,3,169215,11,9,2,2,2,1,0,0,0,74,36,0
28,3,50170,15,10,4,6,1,4,0,0,0,40,38,0
36,3,344058,9,13,2,3,0,4,0,0,674,43,38,1
31,4,107796,14,9,1,11,0,4,0,0,0,40,38,0
36,3,188077,12,9,2,2,3,4,1,0,0,51,38,0
47,5,192826,10,7,3,5,0,4,0,0,0,37,38,0
35,3,187565,11,9,3,5,3,4,0,0,0,44,38,0
43,2,339443,8,11,1,9,0,4,0,0,1568,41,38,1
28,3,143920,9,13,4,10,3,3,0,0,0,40,38,0
45,3,144413,9,13,2,2,0,4,0,0,0,44,38,1
41,2,169265,9,9,2,7,1,4,0,0,0,52,38,1
49,3,137071,11,9,2,6,0,4,0,0,0,33,38,1
29,0,183198,13,15,2,8,0,4,0,0,0,45,40,1
31,3,214838,11,9,4,2,1,2,0,0,0,38,40,0
46,3,108870,11,9,4,2,4,2,1,0,0,40,38,0
65,5,111282,12,9,0,12,2,4,0,0,0,28,38,0
34,5,135228,9,14,3,10,2,2,1,0,1811,54,38,1
45,3,42848,14,10,2,10,0,4,0,0,0,43,38,1
36,3,220014,9,12,0,3,0,4,0,0,0,43,38,1
30,3,168667,11,12,2,3,3,2,0,0,0,51,37,0
56,4,25261,8,10,1,1,0,4,0,0,0,40,38,1
51,5,190542,9,14,3,3,0,4,0,0,0,46,38,1
24,3,46861,15,10,4,9,2,4,0,0,0,40,38,0
32,3,410635,5,4,2,4,0,2,0,0,0,46,36,0
27,2,47169,13,10,4,10,2,4,0,0,0,41,38,0
51,3,49151,13,10,2,11,0,4,0,5911,0,44,38,1
55,1,27270,10,9,0,0,0,4,0,0,0,40,38,1
21,3,216121,14,9,3,8,2,4,0,0,0,28,38,0
36,3,225507,8,12,0,3,2,4,1,0,0,49,38,1
27,3,234334,10,9,2,5,1,4,0,0,0,43,38,1
36,3,169442,14,9,2,2,0,3,0,0,0,42,37,0
23,3,172602,11,9,4,3,3,4,0,0,0,50,38,0
60,4,163889,9,11,2,1,1,2,0,0,0,40,39,0
56,5,162472,9,11,3,2,1,4,0,0,0,40,38,0
41,3,166639,9,13,4,9,1,4,0,2750,0,42,38,1
60,3,273250,11,10,1,1,1,2,0,0,0,40,38,0
27,3,111838,7,12,2,0,5,2,1,0,0,32,24,1
42,3,203642,9,12,3,8,0,4,0,0,0,40,38,1
55,2,201847,11,9,5,5,1,2,1,0,0,39,38,0
41,3,213115,8,11,2,11,4,4,1,0,94,38,38,1
30,3,231062,7,5,0,6,2,4,0,0,0,36,38,0
19,1,310407,1,6,3,8,2,3,0,0,0,29,38,0
26,1,286589,9,12,1,8,4,2,0,0,48,40,37,1
50,3,276907,12,9,1,4,1,2,0,0,0,40,38,0
31,1,292939,8,12,2,9,3,2,0,0,0,43,38,1
33,2,205300,10,7,2,3,0,3,0,0,0,40,22,0
33,0,183496,13,14,2,7,0,4,0,0,0,43,40,1
56,3,108986,11,9,0,10,4,3,1,0,0,40,38,0
41,3,211488,8,11,2,11,4,4,1,0,0,38,38,1
57,3,166015,10,9,2,0,4,1,0,0,0,40,40,0
41,3,115618,11,11,2,2,3,4,0,1078,0,29,38,1
41,4,59236,14,9,1,5,4,4,1,0,0,19,38,1
34,4,289700,13,12,4,3,1,2,1,0,0,40,38,0
42,3,204663,8,12,3,9,1,4,1,0,0,39,38,1
45,3,161447,5,9,3,3,0,4,0,0,0,40,38,0
49,1,119448,9,13,2,7,3,4,0,9496,0,36,38,1
36,3,217200,12,9,3,5,0,4,0,0,0,47,38,0
44,3,109283,11,9,4,2,4,2,1,0,0,39,38,0
35,2,205316,8,6,2,4,0,3,0,0,0,40,28,0
56,4,25133,8,10,1,1,0,4,0,0,0,40,38,1
47,1,44297,11,9,2,7,0,4,0,0,0,40,38,0
49,3,166728,11,9,2,1,4,1,1,0,0,37,40,0
65,7,197635,6,4,2,12,0,3,0,0,0,31,38,0
52,3,140699,13,12,3,6,3,4,0,5437,1167,46,38,1
48,3,108551,12,9,0,11,2,4,0,0,0,40,38,0
42,3,265536,11,9,2,4,2,3,0,0,0,27,38,0
26,3,241992,10,10,2,8,3,4,0,0,0,33,38,0
50,3,186716,11,14,2,7,4,4,1,0,0,50,38,1
48,3,166804,11,9,2,2,4,1,1,0,0,37,40,0
34,3,165626,9,13,4,9,1,4,0,7835,0,45,38,1
31,3,207606,8,6,2,3,0,4,0,0,967,38,38,0
28,1,206002,14,9,4,0,1,3,0,0,310,39,10,0
30,2,139838,9,13,4,6,3,2,1,0,0,40,38,0
42,3,170705,14,9,2,2,0,4,0,0,0,40,38,1
32,3,172989,10,10,3,2,1,4,0,0,0,53,38,0
53,4,220788,15,10,5,11,1,4,1,0,0,59,38,0
