age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
22,3,173024,11,9,4,3,3,4,0,0,0,52,38,0
62,5,161703,6,10,2,3,0,4,0,0,0,40,38,0
56,2,79397,9,11,0,7,2,4,0,0,0,38,38,0
29,3,169053,11,9,2,3,2,1,0,0,0,71,36,0
24,3,171932,11,9,3,2,2,2,0,0,0,67,37,0
50,3,162200,10,10,4,0,2,4,0,0,0,42,38,0
51,2,146826,11,9,0,3,1,2,1,0,0,40,38,0
45,1,203264,14,9,0,0,1,3,1,0,0,38,38,0
39,3,61068,12,11,2,5,1,4,0,0,0,41,38,0
46,2,144327,11,11,1,5,1,2,1,0,0,40,38,0
36,3,95491,14,10,0,11,1,4,0,0,0,44,38,0
46,2,56976,11,9,2,9,0,4,0,0,0,40,38,0
22,2,273591,7,11,4,9,3,2,1,0,0,32,38,0
34,3,208502,1,5,0,9,0,4,0,0,0,33,38,0
74,7,114159,14,9,1,13,0,4,0,0,0,13,38,0
36,4,82019,6,7,0,6,2,1,0,0,0,32,38,0
64,3,127027,11,9,0,6,0,4,0,0,0,24,38,0
28,2,332399,5,11,2,11,0,2,0,0,0,42,38,0
29,3,221115,10,12,4,9,1,4,0,0,0,36,38,0
21,7,187359,0,6,4,13,1,4,0,0,0,30,38,0
31,3,103783,9,12,3,9,1,4,0,0,0,48,38,0
34,1,49680,10,12,2,9,0,4,0,0,0,43,38,0
33,3,135803,8,11,1,9,4,3,1,0,0,40,38,0
41,7,104583,11,9,3,13,1,4,0,0,1400,40,38,0
40,3,150589,11,9,1,3,1,2,0,0,0,38,38,0
44,3,106231,10,10,1,10,2,4,0,0,0,44,38,0
23,3,174060,10,9,3,2,2,4,0,0,0,58,38,0
45,2,57603,10,9,2,9,0,4,0,0,0,40,38,0
37,3,187376,11,9,2,3,4,4,0,0,0,51,38,0
39,1,50042,9,12,2,8,0,4,0,0,0,44,38,0
67,7,94102,10,8,2,13,4,4,0,1078,0,19,38,0
50,4,136714,7,11,0,12,4,2,1,0,0,30,38,0
41,2,204441,10,7,1,3,0,4,0,0,0,39,38,0
28,3,208681,9,7,3,1,0,4,0,0,1425,37,38,0
20,3,216386,14,9,3,10,2,4,0,0,0,25,38,0
31,4,289903,7,11,4,3,1,2,1,0,0,34,38,0
45,3,169505,10,13,2,3,2,4,0,0,0,40,38,0
55,3,170234,9,12,2,3,0,4,0,0,0,39,38,0
24,3,171692,11,9,2,2,2,2,0,0,0,67,36,0
23,3,159115,14,9,2,4,0,4,0,0,0,38,38,0
36,3,129696,13,10,0,3,2,4,0,0,0,40,38,0
38,3,148614,11,9,0,9,3,3,1,0,0,40,38,0
26,3,170374,11,9,4,5,3,4,0,0,0,39,38,0
26,6,232632,12,11,4,9,2,4,0,0,0,50,38,0
31,3,342424,11,9,4,0,3,2,1,0,0,40,38,0
69,3,126191,11,9,1,3,0,4,0,0,0,25,38,0
44,3,168206,13,9,2,1,1,2,0,0,0,40,39,0
53,3,631135,11,9,2,8,0,4,0,0,0,43,38,0
29,0,205029,7,8,4,1,1,3,0,0,0,40,21,0
32,4,233277,8,11,3,3,1,4,0,0,0,58,38,0
33,3,222613,9,12,4,9,1,4,0,0,0,40,38,0
31,2,43772,13,9,4,9,2,4,0,0,0,40,38,0
23,3,150140,1,6,3,9,2,3,0,0,0,40,38,0
41,1,204309,10,7,0,2,0,4,0,0,0,38,38,0
50,3,221054,14,10,5,10,1,4,0,0,0,57,38,0
50,2,72378,9,12,0,10,1,4,0,0,0,44,38,0
42,1,204074,11,8,0,2,0,4,0,0,0,38,38,0
46,3,162164,11,9,5,0,4,3,1,0,0,42,38,0
31,3,214729,11,9,3,2,0,2,0,0,0,40,40,0
37,4,108049,13,9,1,11,1,4,0,0,0,40,38,0
41,3,168735,14,9,2,1,1,3,0,0,0,40,38,0
30,3,49336,13,9,4,10,2,4,0,0,0,40,38,0
24,2,209774,11,9,4,0,1,3,0,0,1893,37,36,0
59,3,561605,11,9,2,9,0,3,0,0,0,43,38,0
31,2,340490,7,12,2,11,0,2,0,0,0,46,38,0
32,1,314292,7,11,2,9,1,4,0,0,0,43,38,0
18,1,292144,5,7,4,9,3,4,1,0,0,29,38,0
28,3,133297,9,9,2,3,1,3,1,0,0,37,38,0
18,2,264616,10,8,4,7,3,4,0,0,0,15,38,0
42,5,106809,11,9,4,7,2,2,0,0,668,40,38,0
47,2,145094,11,10,1,4,1,2,1,0,0,40,38,0
42,3,224409,9,11,3,7,0,4,0,0,0,40,38,0
20,3,216582,14,10,4,10,2,4,0,0,0,25,38,0
23,5,112120,9,12,4,8,1,2,1,0,0,39,1,0
25,3,211928,11,9,3,0,0,4,0,0,1238,38,38,0
73,7,114158,14,10,2,13,0,3,0,0,0,13,37,0
35,1,50118,10,12,2,9,0,4,0,0,0,44,38,0
51,4,279980,11,11,2,0,1,2,0,0,0,40,38,0
33,1,139762,11,13,4,8,1,2,1,0,0,40,38,0
24,4,105029,12,11,2,10,0,4,0,0,0,44,38,0
53,2,226514,11,9,2,6,0,4,0,0,0,40,37,0
51,3,170756,9,12,2,2,0,4,0,0,0,42,38,0
50,3,108655,11,9,0,11,3,4,0,0,0,40,38,0
33,1,204761,15,10,2,0,1,3,0,0,0,39,14,0
25,3,156248,12,9,3,5,1,4,0,0,0,37,38,0
38,5,288931,12,13,4,1,1,2,1,0,0,40,38,0
43,3,167315,11,9,3,3,4,2,1,0,0,34,39,0
52,3,107699,10,9,0,11,3,4,0,0,0,42,38,0
49,3,169800,9,11,2,4,1,4,0,0,0,37,38,0
30,3,103525,9,12,3,9,1,4,0,0,0,48,38,0
43,3,117768,10,9,2,10,0,3,0,2406,0,19,31,0
32,3,169261,12,9,2,2,1,2,0,0,0,59,36,0
44,3,163673,9,10,3,1,2,2,1,0,0,40,39,0
34,3,222938,9,12,3,8,0,4,0,0,0,40,38,0
22,3,266893,9,12,4,8,3,2,0,0,0,30,38,0
62,5,160193,1,7,2,5,0,4,0,0,0,40,38,0
25,3,261486,13,9,1,5,3,2,0,0,0,27,31,0
32,3,172967,10,10,3,2,1,4,0,0,0,52,38,0
30,1,207254,7,8,2,4,1,3,0,0,0,36,21,0
40,2,138780,10,13,2,10,1,2,1,0,0,36,38,0
42,3,167340,11,9,3,3,4,2,1,0,0,34,39,0
46,1,202909,6,7,5,4,1,2,1,0,0,40,38,0
48,3,146201,10,9,0,3,1,2,1,0,0,40,38,0
