age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
40,3,216237,9,13,0,3,1,4,1,0,0,45,38,1
34,3,341954,9,13,2,3,0,4,0,0,0,40,38,1
41,3,252986,15,10,2,2,0,4,0,0,0,48,38,1
40,3,133456,11,9,2,11,2,4,1,0,0,24,38,1
49,3,186078,12,14,2,9,5,4,1,0,0,50,38,1
43,3,383670,11,9,2,2,0,4,0,0,1902,40,38,1
54,6,188809,10,16,4,3,1,4,1,0,0,50,38,1
49,1,119904,9,13,2,9,5,4,1,7688,0,30,38,1
58,3,191069,11,9,2,11,0,4,0,0,0,40,38,1
26,3,157028,12,14,4,9,1,4,0,0,0,55,38,1
54,6,188809,10,16,4,3,1,4,1,0,0,50,38,1
49,1,119904,9,13,2,9,5,4,1,7688,0,30,38,1
25,3,110978,7,12,2,0,5,1,1,0,0,37,18,1
59,3,140363,11,9,2,2,0,4,0,0,0,42,38,1
60,3,119684,15,10,2,6,0,4,0,3103,0,40,38,1
44,3,45363,15,10,2,12,0,4,0,0,0,44,38,1
45,3,167187,9,13,4,9,1,4,1,0,0,40,38,1
43,3,142444,15,10,0,11,4,4,1,0,0,55,38,1
29,1,219906,9,13,2,9,5,4,1,0,0,25,38,1
23,3,325179,11,9,2,11,0,4,0,0,0,40,38,1
37,3,106043,11,9,2,11,0,2,0,0,0,40,38,1
36,0,327435,12,14,0,12,1,4,1,0,0,40,38,1
40,3,203761,11,9,2,6,0,4,0,0,0,40,38,1
36,3,337039,7,12,4,12,1,2,0,14344,0,40,8,1
44,1,83286,12,14,2,9,5,4,1,0,0,40,38,1
43,3,170721,15,10,2,2,0,4,0,0,0,40,38,1
47,6,100818,11,9,2,0,5,4,1,0,0,40,38,1
42,3,219155,8,11,2,2,0,4,0,0,0,45,38,1
58,3,204678,9,13,2,12,5,4,1,0,0,40,38,1
52,3,168001,12,14,0,9,1,4,1,0,0,40,38,1
31,3,145139,9,13,2,2,0,4,0,0,0,40,38,1
27,8,129661,8,11,2,14,5,0,1,0,0,40,38,1
38,4,116608,15,10,2,7,5,4,1,0,0,20,38,1
33,3,262439,11,9,2,0,5,4,1,0,0,35,38,1
38,4,116608,15,10,2,7,5,4,1,0,0,20,38,1
44,1,83286,12,14,2,9,5,4,1,0,0,40,38,1
23,3,325179,11,9,2,11,0,4,0,0,0,40,38,1
19,3,142738,15,10,4,9,3,4,1,14084,0,20,38,1
47,6,100818,11,9,2,0,5,4,1,0,0,40,38,1
40,3,133456,11,9,2,11,2,4,1,0,0,24,38,1
29,3,144592,14,15,2,9,0,4,0,0,0,50,38,1
27,3,359155,9,13,2,9,5,4,1,0,0,40,38,1
