age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
37,1,51158,15,10,2,12,5,4,1,7298,0,36,38,1
56,4,170287,9,13,2,3,0,4,0,0,0,40,38,0
31,3,249869,11,9,2,11,0,4,0,0,0,40,38,0
46,3,173461,15,10,2,11,5,4,1,0,0,40,38,1
35,5,233533,9,13,5,2,1,4,0,0,0,65,38,0
43,3,203642,9,13,4,9,1,4,1,0,0,40,38,1
52,3,177942,11,9,2,0,5,4,1,0,0,40,38,1
45,3,215892,12,14,4,3,1,4,1,0,2824,50,38,1
37,3,169469,15,10,2,2,0,4,0,0,0,40,38,0
39,3,192251,15,10,0,2,3,4,1,0,0,50,38,1
27,3,153869,11,9,4,5,3,4,0,0,0,37,38,0
31,3,393357,6,5,2,5,0,2,0,0,0,48,38,0
40,3,216237,9,13,0,3,1,4,1,0,0,45,38,1
68,8,196782,5,4,2,14,0,4,0,0,0,30,38,0
46,3,173461,15,10,2,11,5,4,1,0,0,40,38,1
34,1,231826,11,9,2,9,0,4,0,0,0,40,7,0
56,4,170287,9,13,2,3,0,4,0,0,0,40,38,0
38,1,51240,9,13,2,9,0,4,0,0,0,45,38,0
54,6,188809,10,16,4,3,1,4,1,0,0,50,38,1
46,3,173461,15,10,2,11,5,4,1,0,0,40,38,1
54,6,188809,10,16,4,3,1,4,1,0,0,50,38,1
43,5,75435,11,9,0,2,4,0,0,0,0,30,38,0
39,5,65738,15,10,2,7,5,4,1,0,0,15,38,1
46,3,57914,11,9,2,10,0,4,0,0,0,40,38,0
29,3,144592,9,13,4,11,3,4,0,0,0,40,38,0
32,3,259719,15,10,0,5,4,2,0,0,0,40,26,0
40,3,133456,11,9,2,11,2,4,1,0,0,24,38,1
33,3,222654,9,13,4,9,1,4,0,0,0,40,38,0
25,3,241626,11,9,4,7,3,4,0,0,0,30,38,0
19,3,142738,15,10,4,9,3,4,1,14084,0,20,38,1
47,1,171095,7,12,2,0,5,4,1,0,0,35,38,1
27,8,129661,8,11,2,14,5,0,1,0,0,40,38,1
42,1,328581,12,14,2,9,0,4,0,0,0,55,38,0
43,3,142444,15,10,0,11,4,4,1,0,0,55,38,1
20,3,174436,11,9,4,2,3,4,0,0,0,60,38,0
38,3,205339,6,5,2,6,0,4,0,0,0,40,38,0
45,3,306889,9,13,2,3,5,4,1,0,0,40,38,1
33,3,236013,7,12,2,3,5,4,1,0,0,55,38,1
66,1,188220,11,9,6,0,4,4,1,0,0,35,38,1
40,5,175943,8,11,2,9,5,4,1,0,1977,15,38,1
43,5,75435,11,9,0,2,4,0,0,0,0,30,38,0
27,3,215014,11,9,2,2,0,4,0,0,0,40,38,0
50,3,72351,9,13,0,11,1,4,0,0,0,45,38,0
43,3,142444,15,10,0,11,4,4,1,0,0,55,38,1
41,3,213019,8,11,2,12,5,4,1,0,0,38,38,1
47,6,100818,11,9,2,0,5,4,1,0,0,40,38,1
59,1,435836,0,6,2,7,5,4,1,0,0,30,38,1
23,3,253190,7,12,2,5,0,4,0,0,0,25,38,0
