age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
57,4,188656,10,14,4,2,1,4,1,0,0,46,38,1
50,3,192737,9,12,2,4,0,4,0,0,0,40,38,1
62,7,222923,14,10,0,12,1,4,1,0,0,35,38,0
23,4,232260,7,6,0,8,3,4,1,0,0,36,38,0
60,3,153047,10,8,5,11,1,4,0,0,0,35,38,0
38,3,320874,9,12,2,11,0,1,0,0,0,40,40,1
38,3,129901,14,10,0,2,3,4,0,0,0,40,38,0
56,3,104486,14,9,2,2,0,3,0,0,0,40,38,1
39,4,175925,8,11,2,8,4,4,1,0,1804,17,38,1
32,5,233308,9,12,4,3,1,4,0,0,0,61,38,0
39,3,169561,14,10,2,2,0,4,0,0,0,40,38,0
46,3,117511,11,9,2,3,3,4,0,722,0,36,32,1
41,3,211395,10,10,2,8,5,4,1,0,0,38,25,1
42,3,379890,10,9,2,2,0,4,0,0,1902,41,38,1
20,4,179450,6,7,4,6,2,4,0,0,0,48,38,0
30,3,118134,9,11,3,3,2,4,0,906,0,32,38,0
40,3,282239,13,9,2,6,2,3,0,0,0,40,38,0
30,3,213603,11,9,4,1,1,2,0,0,448,39,40,0
65,7,198049,5,5,2,13,1,4,0,0,0,30,38,0
46,5,48965,12,10,2,4,2,4,0,0,0,25,38,1
37,4,165840,11,9,2,12,0,4,0,0,0,39,38,1
42,3,427574,11,9,3,3,2,2,0,0,0,41,38,0
31,0,204561,0,6,4,3,1,4,1,0,0,38,38,0
42,3,205352,10,12,3,7,2,4,1,0,0,40,27,1
23,3,91340,3,8,2,13,1,4,0,0,0,37,38,0
44,2,117702,10,10,2,4,5,4,1,2143,0,34,32,1
58,3,119524,15,10,2,6,0,4,0,2942,0,38,38,1
42,3,382298,10,9,2,2,0,4,0,0,1795,40,38,1
26,3,154176,11,9,3,5,2,4,0,0,0,37,38,0
44,3,110328,11,9,4,5,4,2,1,0,0,38,38,0
40,3,167370,10,13,1,8,3,4,1,0,0,26,38,1
49,2,119184,9,13,2,6,3,4,0,10546,0,39,38,1
48,2,203064,12,10,0,4,2,4,1,0,0,34,38,0
59,4,164307,9,11,2,1,2,2,0,0,0,40,39,0
54,3,188864,11,11,2,10,2,4,0,0,0,44,38,1
33,2,376684,7,7,2,6,0,2,0,0,0,49,38,0
31,3,249780,10,8,2,10,0,4,0,0,0,40,37,0
24,3,91527,1,7,2,13,0,4,0,0,0,36,38,0
38,3,167814,11,12,2,2,5,3,1,0,0,40,38,0
44,3,211187,8,11,2,12,5,4,1,0,0,38,38,1
57,1,88507,11,9,1,4,4,4,1,0,0,34,38,0
42,3,161615,11,9,5,0,3,4,0,0,0,42,38,0
53,3,308118,13,10,2,3,5,4,1,0,0,40,38,1
46,3,235875,13,9,3,2,2,4,0,0,0,16,27,0
49,4,136518,7,11,0,12,4,2,1,0,0,31,38,0
64,4,55703,10,12,2,9,0,4,0,16135,0,44,38,1
29,0,205020,7,7,4,1,1,3,0,0,0,40,22,0
61,3,166170,11,10,1,9,0,4,0,0,0,40,27,1
48,3,193092,9,12,2,3,0,4,0,0,0,40,38,1
53,3,309043,14,9,2,3,4,4,0,0,0,40,38,1
43,3,235093,13,9,3,4,2,4,0,0,0,21,23,0
58,7,221721,15,10,0,13,2,4,1,0,0,33,38,0
32,2,43517,13,9,3,9,1,4,0,0,0,40,38,0
58,3,152660,11,9,5,11,1,4,1,0,0,35,38,0
45,3,129384,13,9,0,5,2,4,0,0,0,34,38,0
46,3,187592,12,13,1,7,4,4,1,0,0,50,38,1
38,3,278863,9,12,1,3,0,4,0,0,1885,50,37,1
50,3,187114,11,12,2,9,3,4,0,0,0,47,38,1
55,3,118055,10,12,2,10,0,4,0,588,0,40,38,1
36,2,279666,9,13,2,3,0,3,0,0,1718,49,38,1
41,3,115459,10,12,2,1,3,4,0,999,0,29,38,1
50,3,491080,11,9,2,6,1,3,0,0,0,42,38,0
39,5,288774,12,13,4,0,1,2,1,0,0,40,38,0
44,6,269027,11,11,1,8,0,4,0,8086,722,64,29,1
31,2,288613,10,13,2,10,1,3,0,0,0,43,29,1
51,3,177816,10,9,2,0,5,4,1,0,124,38,38,1
39,3,345871,9,13,2,3,0,4,0,0,1255,46,38,1
39,4,175933,8,11,2,8,4,4,1,0,1888,16,38,1
35,1,253745,7,12,0,9,0,2,0,0,0,33,38,0
57,1,86366,11,9,2,3,4,4,1,0,0,31,38,0
37,4,166365,11,9,1,12,0,4,0,0,0,40,38,1
22,3,220142,11,10,4,5,2,4,1,0,0,30,38,0
26,1,287523,8,12,2,9,4,2,0,0,0,40,38,1
56,3,128445,11,9,0,10,1,4,1,0,0,24,38,0
38,4,215611,8,12,2,0,2,4,0,0,0,32,38,1
23,3,117809,9,12,3,0,2,4,0,52,0,39,38,0
40,3,205915,12,9,2,4,2,4,0,0,0,40,24,1
21,3,131578,10,9,3,0,0,4,0,0,0,40,38,0
41,3,213511,8,11,2,10,4,4,1,0,483,40,38,1
42,2,78619,12,12,2,8,5,4,1,0,0,33,38,1
30,3,140748,9,12,3,5,3,2,1,0,0,40,38,0
38,3,273323,11,11,1,3,0,4,0,0,1743,58,29,1
55,3,103506,14,9,2,1,1,4,0,0,0,40,38,1
43,3,214460,10,12,3,7,2,4,1,0,1416,44,38,1
39,3,116696,13,9,2,5,5,4,1,0,0,25,35,1
34,2,340740,9,13,1,3,0,4,0,0,0,40,38,1
40,3,217271,8,11,2,1,1,4,0,0,0,38,38,1
35,3,270229,10,10,2,1,2,4,0,0,891,42,38,1
43,3,156488,6,7,3,5,1,4,0,0,0,38,38,0
74,3,125234,11,9,1,0,0,4,0,0,0,25,38,0
59,4,164102,9,11,2,1,2,2,0,0,0,40,39,0
47,4,138910,10,12,3,5,0,4,0,0,1310,51,38,1
63,6,115013,13,10,2,10,0,4,0,0,0,19,38,0
38,3,131148,12,10,0,4,4,4,0,0,0,40,38,0
32,3,249306,11,9,2,10,0,3,0,0,0,40,38,0
59,3,159681,14,10,2,0,4,4,0,0,0,39,38,1
50,3,192434,9,12,2,2,0,4,0,0,0,39,38,1
23,3,282047,12,11,4,9,3,3,1,0,0,37,38,0
26,3,144127,14,13,2,9,0,4,0,3530,0,42,38,1
42,3,352993,10,13,2,4,0,4,0,22958,1465,52,38,1
34,1,139747,11,13,4,8,1,2,1,0,0,40,38,0
21,3,90965,7,10,3,13,2,4,0,0,0,39,38,0
44,3,109520,11,9,4,3,4,2,1,0,0,39,38,0
50,5,93098,5,7,2,13,2,4,0,631,0,25,38,0
37,3,321203,9,12,2,11,0,1,0,0,0,40,40,1
59,3,140562,14,9,4,10,0,4,0,13655,0,59,38,1
28,3,334157,9,11,2,6,0,4,0,0,0,40,38,1
30,3,323014,10,10,2,11,0,2,0,0,0,40,39,1
26,3,91987,1,6,1,12,0,4,0,0,0,35,38,0
25,4,107566,14,9,2,10,0,3,0,0,0,40,38,0
33,3,350569,10,8,3,0,3,2,0,0,0,39,37,0
37,1,35886,15,10,2,10,2,2,1,0,0,40,38,0
47,5,101130,11,9,2,0,4,4,0,0,331,40,38,1
42,3,135146,7,11,0,11,4,3,1,0,0,35,38,0
33,3,107638,9,9,2,7,1,1,0,0,0,39,31,1
48,1,169893,8,12,1,3,3,4,1,0,0,36,38,1
42,3,167834,9,11,3,9,0,4,0,0,0,49,38,1
54,3,103549,13,9,2,2,0,4,0,0,867,40,38,1
37,1,300197,8,11,2,9,0,3,0,0,0,47,38,1
44,3,142023,14,10,0,9,3,4,0,0,0,53,38,1
37,3,302868,12,11,2,6,1,2,0,0,0,40,27,1
49,3,277646,12,9,1,4,1,2,0,0,0,40,38,0
31,3,142008,13,9,3,6,2,4,0,9757,0,26,38,1
49,2,388970,4,9,2,4,2,4,0,0,1013,40,38,1
42,1,32661,15,10,2,9,1,1,1,0,0,40,38,0
55,0,24556,15,10,0,9,1,0,1,0,0,40,38,0
31,3,133688,9,10,2,4,2,3,1,0,0,36,38,0
38,4,215150,8,12,2,0,2,4,0,0,0,30,38,1
62,5,159888,0,6,2,5,0,4,0,0,0,40,38,0
34,3,342296,9,13,2,3,0,4,0,0,0,40,38,1
43,1,47636,13,11,2,10,5,4,1,52898,0,42,38,1
50,3,202963,11,10,1,5,3,4,1,0,0,33,38,0
62,5,161740,6,10,2,3,0,4,0,0,0,40,38,0
44,5,116297,11,11,3,5,1,4,0,0,0,28,38,0
21,2,84870,11,9,3,10,3,4,1,0,0,24,38,0
40,3,203734,10,9,2,6,0,4,0,0,0,40,38,1
26,6,232668,12,11,4,8,2,4,0,0,0,50,38,0
31,3,249887,9,10,3,6,2,2,0,0,0,33,38,0
37,3,169486,10,10,2,3,1,1,0,0,0,63,36,0
38,2,89137,9,10,3,8,3,4,0,0,0,36,38,0
48,2,305608,12,10,2,5,2,4,0,0,0,43,38,1
40,4,176223,7,10,2,8,4,4,0,0,1746,18,38,1
36,4,264547,13,9,0,1,3,4,0,0,848,53,27,1
59,4,164667,10,10,2,1,2,2,0,0,0,40,39,0
39,3,143431,9,11,2,4,2,2,1,0,0,40,38,0
38,3,59051,15,10,2,9,5,4,1,3347,0,24,38,1
44,4,176771,9,10,2,5,5,4,1,0,1157,25,38,1
32,3,214657,11,9,3,2,0,2,0,0,0,40,40,0
61,5,162670,8,12,2,2,0,4,0,0,0,40,38,0
37,3,114310,11,10,3,8,2,4,1,0,0,35,38,1
32,3,346790,10,9,3,2,3,2,0,0,0,41,38,0
39,3,129973,14,9,0,2,3,4,0,0,0,39,38,0
54,3,117686,9,12,2,10,0,4,0,18,0,40,38,1
53,1,73435,11,13,2,9,4,4,0,1632,0,40,38,1
51,2,146764,11,9,0,3,1,2,1,0,0,40,38,0
40,3,212887,8,11,2,10,5,4,1,0,0,35,38,1
36,1,50678,9,12,2,9,0,4,0,0,0,44,38,0
44,3,108950,10,9,4,2,3,2,1,0,0,40,36,0
20,2,292008,9,8,4,9,3,4,1,0,0,34,38,0
42,3,204443,9,13,3,8,1,4,1,0,0,38,38,1
48,3,167553,10,13,2,9,1,4,1,0,0,40,38,1
20,3,88560,9,10,4,12,3,4,0,0,0,33,38,0
37,3,138570,8,12,2,9,4,2,1,0,0,35,38,0
29,0,205242,14,9,4,0,1,3,0,0,0,40,7,0
34,3,114524,11,11,2,2,5,4,1,0,0,22,38,1
40,4,175716,8,10,2,9,5,4,1,0,1796,17,38,1
37,1,51652,15,10,2,11,5,4,1,7050,0,35,38,1
63,3,165279,10,9,2,8,0,4,0,0,0,37,23,1
27,3,232760,7,7,1,5,2,4,0,0,0,45,38,0
