age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
41,3,107613,10,9,4,3,3,2,0,0,0,41,38,0
25,3,241627,11,9,4,7,3,3,0,0,0,30,38,0
22,3,266560,9,11,4,8,3,2,0,0,0,29,38,0
59,4,160067,1,6,2,5,0,4,0,0,0,40,38,0
22,3,490431,11,9,4,0,3,3,1,0,0,40,25,0
42,1,254962,8,11,0,10,1,2,0,0,0,40,36,0
22,6,231988,14,9,3,13,2,4,0,0,0,40,32,0
29,3,242833,9,12,0,11,3,3,1,0,0,40,38,0
31,1,204998,14,9,4,0,1,2,0,0,0,40,8,0
39,3,118513,10,10,2,7,1,4,0,1901,0,23,38,0
53,3,109883,11,9,1,10,4,3,1,0,0,39,38,0
25,2,321935,6,8,4,4,3,2,1,0,0,32,38,0
22,3,91218,4,9,3,13,1,4,0,0,0,38,38,0
27,3,208758,9,7,3,1,0,4,0,0,1458,37,38,0
20,3,89515,8,10,4,12,3,4,0,0,0,36,38,0
28,4,107644,14,9,1,11,0,4,0,0,0,40,38,0
31,2,142545,10,13,4,10,2,3,0,0,0,40,38,0
44,3,167305,11,11,2,1,5,2,1,0,0,40,39,0
34,2,232466,10,10,3,6,0,4,0,0,0,49,18,0
54,3,170470,9,12,2,2,0,4,0,0,0,40,38,0
55,3,170376,9,12,2,2,0,4,0,0,0,40,38,0
44,1,203423,14,9,0,0,0,4,0,0,0,38,38,0
49,3,244778,6,5,2,5,0,4,0,0,0,39,28,0
52,2,74707,9,12,0,9,1,4,0,0,0,42,38,0
33,3,210831,2,6,1,7,1,3,0,0,0,34,38,0
42,3,221806,11,11,4,9,1,4,0,0,0,49,38,0
51,3,147565,11,9,0,3,1,2,1,0,0,40,38,0
47,2,202904,12,9,5,4,1,2,0,0,0,40,27,0
32,3,214221,11,9,4,1,1,2,0,0,179,39,40,0
35,3,245229,11,7,0,8,1,2,0,0,0,40,33,0
37,3,205746,5,5,1,6,0,4,0,0,0,39,38,0
24,2,45771,14,10,4,10,2,4,0,0,0,40,38,0
59,4,160035,0,6,2,5,0,4,0,0,0,40,38,0
57,3,108996,11,9,0,10,4,3,1,0,0,40,38,0
36,3,55219,14,9,3,3,0,4,0,0,0,40,38,0
30,3,168792,11,11,2,3,3,2,0,0,0,58,36,0
35,3,207084,3,5,1,7,0,4,0,0,0,36,38,0
45,3,203810,8,6,3,6,0,3,0,0,0,40,38,0
45,3,221735,12,10,5,7,1,4,1,0,0,53,38,0
19,3,263368,11,9,3,6,2,3,0,0,0,15,38,0
46,1,41901,10,9,2,7,0,4,0,0,0,40,38,0
24,6,188138,4,7,4,9,1,4,1,0,0,33,38,0
22,3,83310,11,9,3,9,3,3,0,0,0,24,38,0
37,3,247223,10,9,3,7,3,2,1,0,0,40,38,0
23,3,245297,14,9,0,10,2,2,0,0,0,40,37,0
28,3,241104,11,9,4,6,3,4,0,0,0,26,38,0
36,1,50789,9,12,2,9,0,4,0,0,0,44,38,0
56,3,165776,11,9,2,0,4,1,1,0,0,40,40,0
53,3,109895,11,9,1,10,4,3,1,0,0,39,38,0
43,3,544967,11,9,2,5,1,4,0,0,0,42,31,0
34,4,233502,9,12,4,2,0,4,0,0,0,64,37,0
23,5,113128,9,13,4,7,1,3,1,0,0,40,7,0
62,5,161928,6,11,2,3,0,4,0,0,0,40,38,0
25,3,179536,11,9,4,3,3,4,0,0,0,52,38,0
26,3,180075,11,9,4,3,3,4,0,0,0,51,38,0
31,3,392536,6,5,2,5,0,2,0,0,0,47,38,0
33,0,204380,4,7,3,2,1,4,1,0,0,39,38,0
32,3,249469,11,9,2,10,0,3,0,0,0,40,38,0
34,3,169374,13,9,2,2,0,3,0,0,0,49,37,0
57,4,160527,3,7,3,3,1,4,0,0,0,41,38,0
29,3,248881,11,9,1,11,0,3,0,0,0,40,38,0
30,3,137909,8,12,2,7,4,2,1,0,0,40,38,0
24,3,241920,11,9,3,7,3,3,0,0,0,30,38,0
45,3,150540,11,9,2,11,2,4,1,0,0,38,38,0
28,3,243034,11,9,4,7,3,3,0,0,0,32,38,0
40,3,107512,10,9,4,3,3,2,0,0,0,42,38,0
60,3,109524,11,9,0,12,3,4,0,0,0,37,38,0
27,3,153772,11,9,3,5,3,4,0,0,0,37,38,0
71,7,114739,14,9,2,13,0,4,0,329,0,13,38,0
21,6,232104,12,8,2,12,3,4,1,0,0,38,38,0
34,3,94845,12,9,0,11,0,4,0,0,0,43,38,0
40,6,105705,11,9,4,12,1,3,0,0,1214,39,38,0
51,3,262625,9,10,0,3,0,2,0,0,0,34,38,0
46,4,135942,7,11,0,12,4,2,1,0,0,33,38,0
23,4,114951,9,13,4,4,1,3,1,0,0,40,19,0
25,3,244412,12,11,0,11,3,2,1,0,0,40,38,0
45,3,244314,7,5,2,5,0,4,0,0,0,37,29,0
49,3,655409,11,9,2,7,1,4,0,0,0,42,38,0
44,1,203422,14,9,0,0,0,4,0,0,0,38,38,0
41,1,328623,11,13,2,9,0,3,0,0,0,54,38,0
31,2,249939,10,9,1,11,0,3,0,0,0,40,38,0
33,2,338569,8,12,2,11,0,2,0,0,0,48,38,0
21,3,173265,11,9,4,2,3,4,0,0,0,54,38,0
32,1,231842,11,9,2,9,0,4,0,0,0,40,9,0
32,3,357834,11,9,4,0,3,2,1,0,0,40,37,0
31,3,382943,7,5,2,3,0,2,0,0,0,46,38,0
37,3,187577,11,9,2,2,4,4,1,0,0,53,38,0
34,3,78468,9,11,1,11,1,4,0,0,0,34,38,0
46,3,161365,5,9,3,3,0,4,0,0,0,40,38,0
51,3,147336,10,9,0,3,1,2,0,0,0,40,38,0
23,3,267642,9,12,4,8,3,2,0,0,0,34,38,0
38,1,350174,9,10,2,7,0,3,0,0,0,52,38,0
31,3,222081,9,12,4,9,1,4,0,0,0,38,38,0
61,3,266736,11,9,0,2,1,2,0,0,0,40,36,0
44,4,192172,11,8,3,4,0,4,0,0,0,38,38,0
29,0,204910,3,6,4,2,1,3,0,0,0,40,30,0
37,3,248433,9,7,2,9,0,4,0,0,0,40,34,0
36,3,169329,14,9,2,2,0,4,0,0,0,38,38,0
42,2,234673,12,9,2,4,1,4,0,0,0,23,21,0
40,6,104996,11,9,4,11,1,3,0,0,1260,40,38,0
29,3,168890,11,9,2,4,2,1,0,0,0,60,36,0
46,3,60463,10,9,1,10,0,4,0,0,0,40,38,0
35,2,53352,12,11,3,4,0,4,0,0,0,41,38,0
52,3,170126,10,12,2,2,0,4,0,0,0,40,38,0
23,3,248889,11,10,0,8,1,2,0,0,0,33,38,0
23,3,45829,14,9,4,10,2,4,0,0,0,40,38,0
47,1,48038,11,9,2,8,0,4,0,0,0,40,38,0
44,3,111140,11,9,3,7,4,2,1,0,0,38,38,0
44,3,110011,11,9,4,4,4,2,1,0,0,39,38,0
69,6,112293,13,9,1,13,1,4,0,0,0,22,38,0
36,1,138722,11,13,3,9,1,2,1,0,0,40,38,0
23,2,291245,3,8,4,6,2,3,1,0,0,29,38,0
25,3,232537,6,6,0,6,2,4,0,0,0,40,38,0
30,3,212115,5,7,0,6,0,4,0,0,0,35,38,0
52,3,147525,11,9,0,3,1,2,1,0,0,40,38,0
34,3,168940,13,12,2,2,2,4,0,0,0,40,38,0
37,5,98979,13,9,1,12,1,4,0,0,646,42,38,0
28,3,149576,6,7,1,11,3,4,0,0,0,40,38,0
42,4,191738,12,8,3,3,0,4,0,0,0,39,38,0
31,3,368958,11,9,4,0,3,2,1,0,0,40,36,0
26,3,102601,9,12,4,9,1,4,0,0,132,49,38,0
25,5,112045,9,12,4,8,1,2,1,0,0,39,4,0
38,3,143183,9,11,2,4,2,2,1,0,0,40,38,0
34,3,132340,8,11,0,9,2,4,0,0,0,40,38,0
25,3,241834,10,9,3,7,3,4,0,0,0,31,38,0
34,3,190200,14,9,3,0,0,4,0,0,0,41,38,0
43,3,138193,9,12,1,11,2,2,1,0,0,34,38,0
55,3,108841,11,9,0,11,3,4,0,0,0,40,38,0
24,3,91422,2,7,2,13,1,4,0,0,0,36,38,0
19,1,291948,1,7,4,8,2,3,1,0,0,26,38,0
26,3,223997,7,12,4,0,1,4,0,0,0,36,38,0
