age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
51,3,170109,10,12,2,2,0,4,0,0,0,40,38,0
33,3,175820,8,12,3,5,2,4,1,0,799,32,38,1
59,3,583794,9,8,2,10,0,4,0,0,0,41,36,0
38,3,130042,14,9,0,1,3,4,0,0,0,40,38,0
38,3,129960,14,10,0,2,3,4,0,0,0,40,38,0
35,3,115042,12,11,2,3,5,4,1,0,0,21,38,1
42,3,208447,14,10,2,3,4,4,1,0,0,40,9,1
20,7,232020,14,9,3,13,2,4,0,0,0,40,37,0
45,3,167670,10,13,0,8,2,4,1,0,0,33,38,1
52,4,112039,12,9,3,8,2,2,0,0,0,31,38,0
34,1,204621,14,9,4,1,1,2,0,0,0,40,11,0
47,4,203784,7,8,2,8,2,4,0,0,0,34,38,0
50,3,313639,10,11,2,3,5,4,1,0,0,47,38,1
34,3,119416,9,12,3,0,2,4,0,0,0,36,38,0
41,3,245188,9,6,1,7,1,3,0,0,0,40,30,0
28,3,92438,2,6,1,12,0,4,0,0,0,36,38,0
26,3,224065,7,11,3,0,0,4,0,0,0,36,38,0
37,1,357340,9,10,2,7,0,3,0,0,0,51,38,0
40,4,206494,9,13,3,5,2,4,1,0,0,33,38,1
48,1,72669,12,13,2,8,5,4,1,0,0,34,38,1
30,3,168453,11,9,4,6,3,4,0,0,0,30,38,0
33,3,168972,13,9,3,4,1,4,0,0,0,35,38,0
47,2,191031,13,9,1,1,3,4,1,0,0,45,38,1
37,3,116527,14,10,2,6,5,3,1,0,0,20,37,1
46,1,119005,10,12,2,8,5,4,1,5592,0,27,38,1
57,3,108601,11,9,0,12,3,4,0,0,130,40,38,0
66,3,126810,11,9,0,5,0,4,0,0,0,24,38,0
24,3,215765,13,9,4,7,2,3,0,0,0,30,39,0
53,2,186653,11,12,3,6,4,4,1,0,0,45,38,1
48,3,245730,7,5,2,5,0,3,0,0,0,40,29,0
39,3,148668,6,7,1,5,1,2,0,0,0,40,38,0
