age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
22.0,3.0,104333.0,8.0,11.0,4.0,6.0,3.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
45.0,3.0,21876.0,9.0,13.0,2.0,9.0,5.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
23.0,3.0,237868.0,11.0,9.0,4.0,0.0,3.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
61.0,3.0,203761.0,11.0,9.0,6.0,6.0,1.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
29.0,3.0,216472.0,9.0,13.0,4.0,9.0,1.0,4.0,1.0,0.0,0.0,50.0,38.0,0.0
52.0,3.0,159908.0,15.0,10.0,2.0,3.0,5.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
54.0,3.0,162678.0,9.0,13.0,4.0,2.0,4.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
56.0,3.0,28151.0,9.0,13.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
23.0,3.0,103986.0,8.0,11.0,4.0,11.0,3.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
27.0,3.0,24473.0,11.0,9.0,0.0,11.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
38.0,3.0,203761.0,15.0,10.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,40.0,41.0,1.0
45.0,3.0,263338.0,9.0,13.0,4.0,9.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
46.0,3.0,245302.0,15.0,10.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
40.0,3.0,216237.0,11.0,9.0,4.0,0.0,1.0,4.0,1.0,0.0,0.0,48.0,38.0,1.0
45.0,3.0,266324.0,11.0,9.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,44.0,41.0,1.0
39.0,3.0,136836.0,9.0,13.0,4.0,2.0,1.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
59.0,3.0,51158.0,15.0,10.0,4.0,11.0,3.0,4.0,1.0,14084.0,0.0,60.0,38.0,1.0
45.0,3.0,171095.0,11.0,9.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
43.0,3.0,150675.0,15.0,10.0,2.0,11.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
47.0,3.0,186078.0,11.0,9.0,2.0,2.0,5.0,4.0,1.0,0.0,0.0,38.0,38.0,1.0
34.0,3.0,203761.0,15.0,10.0,4.0,6.0,3.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
56.0,3.0,148903.0,11.0,9.0,2.0,11.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
29.0,3.0,139616.0,9.0,13.0,4.0,9.0,3.0,2.0,1.0,0.0,0.0,40.0,38.0,0.0
50.0,1.0,162322.0,8.0,11.0,2.0,3.0,5.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
43.0,3.0,224045.0,9.0,13.0,2.0,7.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
37.0,3.0,144592.0,14.0,15.0,2.0,9.0,5.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
59.0,3.0,359155.0,11.0,9.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
32.0,3.0,192251.0,11.0,9.0,4.0,0.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
45.0,3.0,301614.0,15.0,10.0,2.0,11.0,5.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
62.0,3.0,214635.0,11.0,9.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,38.0,38.0,1.0
34.0,3.0,204678.0,9.0,13.0,2.0,9.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
37.0,3.0,247547.0,11.0,9.0,2.0,11.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
27.0,3.0,136836.0,9.0,13.0,4.0,9.0,1.0,4.0,0.0,0.0,0.0,37.0,38.0,0.0
52.0,5.0,139616.0,9.0,13.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
34.0,3.0,341954.0,11.0,9.0,4.0,11.0,3.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
29.0,3.0,144592.0,9.0,13.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
34.0,3.0,341954.0,15.0,10.0,2.0,9.0,5.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
23.0,3.0,253190.0,10.0,16.0,4.0,9.0,3.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
24.0,3.0,168443.0,11.0,9.0,0.0,11.0,1.0,4.0,0.0,0.0,0.0,60.0,38.0,0.0
34.0,3.0,204678.0,15.0,10.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,40.0,41.0,0.0
37.0,3.0,169469.0,15.0,10.0,2.0,11.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
27.0,3.0,288433.0,11.0,9.0,2.0,12.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
43.0,3.0,103986.0,8.0,11.0,2.0,11.0,0.0,4.0,0.0,0.0,0.0,30.0,38.0,0.0
36.0,3.0,327435.0,15.0,10.0,4.0,7.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
47.0,3.0,162030.0,8.0,11.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,45.0,38.0,0.0
29.0,3.0,233533.0,8.0,11.0,2.0,11.0,5.0,4.0,1.0,0.0,0.0,40.0,38.0,1.0
32.0,3.0,157028.0,15.0,10.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
43.0,3.0,159908.0,15.0,10.0,2.0,11.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
43.0,3.0,203642.0,9.0,13.0,2.0,9.0,0.0,4.0,0.0,0.0,0.0,55.0,38.0,0.0
36.0,3.0,168443.0,12.0,14.0,0.0,3.0,4.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
