MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
5.4801,27.0,6.87905604719764,1.120481927710843,1793.0,2.781710914454277,34.18,-117.14,1.875
3.4801,27.0,3.977154724818276,1.0192307692307692,1846.0,2.82660687593423,33.73,-118.75,2.041
4.1132,42.0,4.262854544096,1.0417633410672853,2515.0,1.82421875,34.04,-118.36,2.718
3.6908,31.0,4.962825278810409,1.0483271375464684,1011.0,3.848993288590604,33.92,-118.12,2.78
3.4286,24.0,5.658008658008658,1.0305343511450382,2039.0,3.337152209492635,34.04,-121.97,2.581
3.8201,38.0,4.532051282051282,1.0192307692307692,381.0,2.543307086614173,37.6,-122.44,1.294
2.2679,38.0,5.492990654205608,1.02803738317757,1010.0,3.758364312267658,37.78,-120.85,0.498
2.2679,52.0,3.9716981132075473,1.1986062717770034,873.0,2.858490566037736,33.73,-117.03,1.625
4.7933,41.0,4.633540372670807,0.9006211180124224,387.0,2.403022670025189,33.73,-118.18,3.409
3.4115,17.0,4.962825278810409,1.1986062717770034,2734.0,4.354838709677419,34.04,-118.35,2.151
3.7813,14.0,5.826196473551637,1.0013210039630118,954.0,2.403022670025189,38.35,-122.28,1.505
3.0917,38.0,5.849462365591398,1.059139784946237,4818.0,4.147849462365591,36.29,-119.18,1.438
4.2234,34.0,4.682678311499272,1.0099255583126552,1704.0,2.811881188118812,33.68,-117.98,2.027
2.7451,42.0,4.295285359801489,1.0794044665012408,1574.0,2.1488833746898264,38.88,-121.98,1.281
3.4193,38.0,5.390243902439025,1.1986062717770034,1310.0,3.403022670025189,37.77,-122.7,1.6
5.3478,5.0,5.658008658008658,1.0687397708674304,2054.0,3.337152209492635,34.03,-117.96,2.205
2.5504,38.0,5.45136186770428,1.1093585699263933,3795.0,4.856655290102389,36.53,-119.38,1.504
2.5,38.0,4.061594202898551,1.0543478260869563,762.0,2.760869565217391,33.87,-121.93,2.786
4.5987,32.0,4.930894308943089,0.9601769911504424,1117.0,2.1647286821705425,33.89,-117.2,1.232
2.8793,8.0,4.881782945736434,1.0406976744186047,3171.0,2.1647286821705425,36.71,-119.15,0.658
3.3409,38.0,4.646983311938382,1.0937098844672657,3171.0,4.070603337612323,34.2,-119.19,1.384
2.754,34.0,5.36734693877551,1.0029542097488922,863.0,3.397341211225997,34.04,-118.23,2.547
1.6812,42.0,4.192200557103064,1.0222841225626742,1310.0,3.877437325905293,33.74,-118.1,1.6
6.1064,33.0,6.233817701453105,1.0013210039630118,1980.0,2.6155878467635403,37.51,-122.28,2.786
2.8347,26.0,5.835365853658536,1.1097560975609757,1564.0,4.7682926829268295,34.04,-117.76,1.896
3.5518,24.0,4.863275039745628,1.1589825119236885,2064.0,3.2813990461049283,33.83,-118.26,5.00001
3.4698,29.0,5.390243902439025,1.1986062717770034,956.0,3.3310104529616726,33.9,-118.35,2.718
7.1108,26.0,6.771498771498772,0.9198113207547168,707.0,2.858490566037736,34.04,-118.17,1.56
3.5417,42.0,5.1525,1.1108647450110865,873.0,2.7749445676274944,33.73,-116.95,1.504
3.8233,22.0,5.138418079096045,1.0222841225626742,2400.0,4.444444444444445,40.92,-124.06,1.575
3.65,22.0,5.531481481481482,1.0425925925925923,1420.0,2.6296296296296298,37.96,-121.98,2.186
2.6036,51.0,3.6141479099678455,1.1022044088176353,781.0,1.565130260521042,34.04,-121.3,2.78
3.6682,44.0,5.447674418604652,1.0310734463276836,1574.0,3.050387596899225,33.51,-117.14,1.388
2.1875,34.0,5.267175572519084,1.0305343511450382,717.0,3.0916030534351147,32.77,-117.14,1.625
1.6563,31.0,2.642540620384047,0.9547325102880658,781.0,3.397341211225997,32.75,-121.93,0.815
2.853,26.0,4.707667731629393,0.9622641509433962,825.0,2.846975088967972,34.04,-117.14,1.982
1.6953,14.0,4.696308724832215,1.0369127516778522,3795.0,3.848993288590604,38.03,-121.95,0.658
4.2297,38.0,4.930894308943089,0.926829268292683,1808.0,2.658536585365854,37.37,-122.08,3.409
2.0388,26.0,3.814946619217082,0.99288256227758,892.0,2.7793594306049823,34.11,-117.98,4.65
1.5917,28.0,5.45136186770428,1.1361867704280155,967.0,3.762645914396887,38.35,-120.4,0.851
3.5962,14.0,5.923503325942351,1.0359589041095891,240.0,2.851851851851852,40.5,-124.06,0.859
4.7147,42.0,6.87905604719764,0.9750889679715302,1727.0,2.781710914454277,34.18,-118.27,2.915
6.2028,26.0,6.210344827586207,1.0461538461538462,2742.0,3.877437325905293,33.89,-117.14,1.294
3.4286,37.0,5.6327272727273,1.1022044088176353,863.0,3.138181818181818,38.16,-122.17,2.581
3.8201,52.0,5.814946619217082,1.0462962962962965,480.0,4.444444444444445,32.71,-117.14,1.784
2.9485,26.0,5.37218045112782,1.0075187969924813,672.0,2.526315789473684,33.89,-117.76,1.362
3.0875,36.0,5.390243902439025,0.9398034398034398,717.0,3.2739726027397262,33.73,-118.35,1.181
4.375,42.0,5.062730627306273,1.014760147601476,674.0,2.487084870848709,34.05,-118.36,4.056
2.2794,52.0,4.023076923076923,1.054,892.0,2.4384615384615387,34.03,-118.46,3.375
3.0221,18.0,4.5943012211668925,1.0118110236220472,2240.0,3.039348710990502,33.68,-118.43,2.819
1.6812,34.0,4.192200557103064,0.9489247311827956,934.0,2.781710914454277,36.71,-119.75,1.438
3.6908,38.0,4.962825278810409,1.0483271375464684,1011.0,3.758364312267658,33.73,-118.27,1.388
3.65,22.0,4.192200557103064,1.0222841225626742,3795.0,3.877437325905293,34.07,-117.98,2.78
3.1053,52.0,5.164838387751174,1.02020202020202,1565.0,3.444444444444445,33.73,-118.1,5.00001
8.1132,25.0,6.1656441717791415,1.0576395242451968,1263.0,2.3432282003710574,37.48,-122.08,2.145
3.4919,17.0,3.873741994510522,1.1589825119236885,2039.0,4.856655290102389,34.03,-118.27,4.25
3.7917,38.0,5.978021978021978,0.978021978021978,240.0,2.8262548262548264,40.55,-124.13,0.458
2.6036,26.0,2.096692111959288,1.0602409638554218,3171.0,3.21882951653944,34.2,-118.18,1.644
4.2297,38.0,4.707667731629393,1.0572200772200773,530.0,1.6541628545288198,37.88,-122.17,1.6
3.4801,38.0,5.978021978021978,0.978021978021978,240.0,2.2638483965014577,40.55,-124.13,5.00001
3.1053,31.0,6.702898550724638,1.0289855072463767,2742.0,3.2481884057971016,33.92,-117.91,2.661
4.375,38.0,4.532051282051282,1.0192307692307692,381.0,2.4423076923076925,34.03,-118.43,3.615
4.105,16.0,4.60932944606414,1.0417633410672853,1420.0,2.6296296296296298,37.37,-121.97,2.041
2.788,22.0,5.680890538033395,1.1022044088176353,3795.0,3.425233644859813,33.16,-117.15,1.158
3.2216,38.0,4.682678311499272,1.0410022641509433,1997.0,4.418141592920354,34.04,-118.18,2.041
4.5987,18.0,6.142857142857143,0.9887459807073956,912.0,2.7720364741641337,38.46,-122.91,2.539
2.9485,29.0,5.37218045112782,1.0075187969924813,5587.0,2.526315789473684,40.92,-124.13,1.77
2.2679,41.0,3.83011583011583,1.0483271375464684,954.0,2.8262548262548264,37.43,-122.1,3.74
3.65,22.0,5.531481481481482,1.0425925925925923,4818.0,2.6296296296296298,37.96,-121.98,1.51
3.4193,16.0,5.390243902439025,1.1986062717770034,2742.0,3.3310104529616726,32.75,-117.91,2.718
2.9485,16.0,6.035962877030163,1.0417633410672853,2515.0,2.917633410672854,32.83,-116.91,0.967
1.8696,52.0,4.62962962962963,1.0462962962962965,480.0,4.444444444444445,33.76,-118.17,2.394
3.4801,52.0,5.978021978021978,0.978021978021978,240.0,2.6373626373626373,40.55,-124.13,1.621
4.7147,38.0,6.335051546391752,0.9896907216494846,707.0,3.644329896907216,37.37,-122.08,0.804
2.9485,26.0,5.626506024096385,1.120481927710843,240.0,2.9397590361445785,40.92,-121.02,0.948
1.8696,52.0,4.62962962962963,1.0462962962962965,480.0,4.444444444444445,32.71,-117.14,1.513
2.5504,38.0,4.962825278810409,1.1589825119236885,1553.0,3.758364312267658,33.92,-118.12,0.851
6.6073,27.0,6.771498771498772,1.0406976744186047,1705.0,2.1647286821705425,34.29,-118.75,4.65
3.725,52.0,5.193548387096774,1.0099255583126552,1169.0,2.9397590361445785,33.98,-118.43,1.426
1.3071,38.0,5.1525,1.0889328063241106,781.0,2.5866141732283463,38.58,-122.44,0.514
2.8594,34.0,4.151458137347131,1.118532455315146,4818.0,4.532455315145814,33.76,-117.91,1.784
3.5096,17.0,6.923128792987188,1.1348617666891436,1755.0,3.341874578556979,34.46,-118.5,1.362
3.0,24.0,4.5943012211668925,1.0153256704980842,2400.0,3.337152209492635,34.2,-118.43,2.901
3.6908,28.0,6.702898550724638,1.0483271375464684,1795.0,3.758364312267658,34.2,-118.08,1.575
5.4337,11.0,5.901162790697675,1.0116279069767442,1563.0,3.0290697674418605,34.05,-118.36,2.041
4.3709,30.0,5.460474308300396,1.0937098844672657,707.0,3.644329896907216,37.6,-122.39,1.644
1.4577,31.0,5.138418079096045,1.185877466251298,785.0,3.341874578556979,33.74,-118.23,3.375
1.9906,29.0,8.970967741935484,1.9903225806451608,890.0,2.870967741935484,38.88,-122.08,0.988
2.5504,26.0,3.725552050473186,1.1093585699263933,2742.0,2.883280757097792,37.96,-122.44,1.513
3.5818,31.0,5.030651340996169,1.0153256704980842,1302.0,2.849462365591398,37.59,-120.67,4.05
4.7147,15.0,5.923503325942351,1.1108647450110865,2503.0,2.7749445676274944,40.5,-120.67,4.466
4.5,34.0,5.835365853658536,1.1097560975609757,1564.0,4.7682926829268295,34.04,-117.76,4.25
2.8594,24.0,5.390243902439025,0.9887459807073956,1762.0,2.832797427652733,33.73,-118.12,3.4
1.3071,51.0,1.565130260521042,1.1022044088176353,781.0,2.403022670025189,32.72,-117.15,1.232
4.8036,42.0,3.9246575342465753,1.0359589041095891,1050.0,2.8832807534246574,33.74,-122.08,1.375
3.4193,15.0,5.531481481481482,1.006012024048096,3171.0,3.947895791583168,34.03,-117.14,1.158
3.5518,29.0,3.327698309492848,1.023407022106632,943.0,2.4525357607282183,34.25,-117.14,1.846
3.1053,37.0,5.447674418604652,1.0445736434108528,1574.0,3.050387596899225,37.6,-122.11,1.384
1.4577,38.0,5.193548387096774,0.96601159810774,1565.0,3.354838709677419,36.79,-119.75,0.966
3.4286,38.0,5.826196473551637,0.9006211180124224,3171.0,2.403022670025189,37.51,-122.1,0.907
3.9336,16.0,5.553191489361702,1.0687397708674304,3382.0,2.851851851851852,34.04,-117.65,2.25
4.1346,26.0,5.626506024096385,1.120481927710843,244.0,2.9397590361445785,37.48,-120.67,2.581
2.7451,31.0,5.531481481481482,1.1022044088176353,752.0,2.6296296296296298,33.74,-117.34,1.504
3.6908,13.0,4.962825278810409,1.0483271375464684,1011.0,3.758364312267658,33.92,-118.08,1.674
2.475,43.0,4.0986666666666665,0.9666666666666668,416.0,3.466666666666667,34.06,-118.17,1.625
5.7376,52.0,6.1636363636364,1.02020202020202,16.0,3.4444444444444446,37.39,-122.72,1.875
3.4286,34.0,4.532051282051282,1.0192307692307692,381.0,2.4423076923076925,37.6,-122.39,2.78
4.2297,16.0,7.757009345794392,1.0310734463276836,2515.0,3.425233644859813,38.87,-122.16,1.232
2.7321,42.0,3.5660377358490565,0.9198113207547168,1886.0,4.117924528301887,33.98,-118.28,1.621
3.4698,21.0,2.642540620384047,1.0029542097488922,2300.0,3.397341211225997,33.73,-118.59,2.111
5.3668,18.0,6.702898550724638,1.1022044088176353,1302.0,2.565130260521042,33.73,-117.34,2.197
3.0221,20.0,4.646983311938382,1.0029542097488922,3171.0,3.397341211225997,34.03,-118.12,2.394
3.4286,12.0,5.251482799525504,0.9750889679715302,2400.0,2.846975088967972,34.08,-119.75,0.967
2.9485,17.0,4.021638330757342,1.014760147601476,654.0,2.05564142194745,37.78,-124.13,0.514
3.6682,25.0,4.192200557103064,1.0222841225626742,954.0,2.82660687593423,37.38,-120.97,2.186
2.8793,37.0,5.062730627306273,1.014760147601476,1564.0,2.487084870848709,34.05,-118.36,2.901
8.1132,38.0,6.87905604719764,1.1097560975609757,1635.0,2.883280757097792,37.34,-122.16,4.65
2.8233,25.0,5.531481481481482,1.0425925925925923,1420.0,2.6296296296298,32.84,-117.96,2.205
6.6073,11.0,6.233817701453105,1.0116279069767442,1563.0,3.0290697674418605,33.94,-117.76,1.51
3.5518,42.0,4.682678311499272,1.042212518195051,2054.0,2.98981077147016,32.9,-117.14,1.504
2.7451,42.0,5.826254826254827,1.1097560975609757,1564.0,2.8262548262548264,34.07,-117.76,1.674
1.4577,8.0,5.553191489361702,1.035264483627204,1565.0,3.762645914396887,34.04,-119.33,0.905
6.2028,33.0,6.702898550724638,1.0445736434108528,1793.0,3.050387596899225,37.48,-122.28,4.05
6.1323,32.0,6.28951048951049,1.020979020979021,1846.0,2.5818181818182,32.83,-117.65,5.00001
2.8793,22.0,5.062730627306273,1.014760147601476,674.0,2.487084870848709,34.05,-118.36,2.021
6.1323,32.0,6.28951048951049,1.020979020979021,1846.0,2.5818181818182,37.59,-122.39,4.466
2.754,24.0,4.646983311938382,1.0602409638554218,1010.0,3.454,37.78,-120.97,0.948
3.4679,34.0,4.644329896907216,1.0602409638554218,3795.0,3.644329896907216,37.48,-122.28,2.547
3.4286,41.0,4.28169014084507,1.0136054421768708,892.0,2.0938967136150235,37.69,-122.14,1.869
3.6908,38.0,4.962825278810409,1.0483271375464684,1011.0,3.758364312267658,33.92,-118.75,1.77
2.8594,45.0,4.537074148296593,1.006012024048096,1970.0,3.947895791583168,33.76,-117.98,1.294
5.5563,35.0,6.326530612244898,1.0136054421768708,1169.0,2.6462585034013606,33.72,-117.14,1.465
8.1132,37.0,6.87905604719764,1.0117994100294985,1755.0,2.781710914454277,34.04,-118.23,2.718
1.7016,16.0,5.062619047619048,1.0417633410672853,1263.0,3.0316742081447963,37.8,-120.93,0.851
1.3667,16.0,2.917633410672854,1.0417633410672853,1420.0,2.917633410672854,32.83,-116.91,0.967
2.7457,42.0,5.531481481481482,1.0425925925925923,863.0,2.6296296296296298,37.96,-121.98,0.477
2.9485,22.0,5.311643835616438,0.928082191780822,1010.0,3.458904109589041,36.79,-119.68,0.948
5.6874,24.0,6.221719457013575,1.0117994100294985,1310.0,2.811881188118812,33.16,-117.98,4.65
2.7457,42.0,4.061594202898551,1.0117994100294985,943.0,3.211864406779661,33.68,-118.02,2.539
3.7917,16.0,5.680890538033395,0.9547325102880658,240.0,3.762645914396887,36.79,-119.45,0.905
2.6471,16.0,4.0986666666666665,0.9706666666666668,2400.0,3.0,38.58,-117.91,1.621
3.4679,17.0,4.0986666666666665,0.9706666666666668,2400.0,3.644329896907216,38.58,-117.91,2.205
4.2297,41.0,3.83011583011583,0.9601769911504424,717.0,2.82660687593423,33.96,-117.76,4.056
3.0,34.0,5.492990654205608,1.1934931506849316,1574.0,2.82660687593423,32.77,-121.97,1.587
1.8696,52.0,4.62962962962963,1.0462962962962965,480.0,4.444444444444445,34.29,-118.17,2.901
4.105,37.0,6.035962877030163,1.0417633410672853,2515.0,2.917633410672854,32.83,-116.91,1.362
3.9063,47.0,4.633540372670807,1.0081632653061223,781.0,3.204081632653061,34.04,-118.31,1.798
3.65,29.0,4.525114155251141,1.1057513914656771,654.0,4.7682926829268295,33.89,-117.61,2.111
3.3409,18.0,3.8483935742971886,1.0937098844672657,3171.0,4.070603337612323,34.2,-119.19,2.198
6.9135,34.0,6.1656441717791415,0.943103448275862,908.0,2.785276073619632,34.17,-118.43,1.438
1.6563,38.0,4.525114155251141,1.0117994100294985,954.0,3.2739726027397262,34.18,-118.28,0.905
4.2287,5.0,5.390243902439025,0.943103448275862,2400.0,3.341874578556979,33.73,-117.98,2.041
4.0167,22.0,5.030651340996169,1.0029542097488922,1420.0,2.4942528735632186,33.89,-117.91,2.519
