long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
1,13.955684407211919,6.3556844072119185,1,1,0,0,0
1,14.248458028180535,6.003083943638932,1,0,1,0,0
0,11.525853682304044,5.880975776128304,0,0,0,1,1
1,12.533004775095323,7.0,1,0,0,1,0
1,12.587139728109854,7.0,1,0,0,1,0
1,11.88657810132095,6.918657810132095,1,0,0,1,0
1,12.062093687753537,5.287364562584512,1,0,1,1,0
1,11.519345297929373,7.0613094041412525,0,1,1,0,0
1,11.939840626993899,5.290039843251525,1,0,1,1,0
1,12.522859394569,5.119682289492333,1,0,1,1,0
0,12.006468555023819,6.061763253588443,0,0,1,0,1
0,12.939514630910327,5.7,0,1,0,0,1
1,12.116363983459337,6.159191996324298,0,1,0,0,1
0,14.193272610818415,6.36218174054561,1,0,1,0,0
1,13.137495085073427,6.6,1,1,0,0,0
0,12.424030419859191,5.8,1,1,0,1,0
1,14.073398796751631,6.3,1,0,0,0,0
0,12.741201042310088,6.109257738462907,1,1,0,1,0
0,11.66201731521904,6.910336219203174,0,1,1,0,0
1,12.162329775370821,5.462329775370821,0,1,0,0,1
1,12.639397201051503,6.163616793690974,0,1,0,1,1
1,12.13914429271517,5.4,1,0,0,0,1
1,11.763039611256117,5.384352466492659,1,1,1,0,0
0,12.530032398895019,6.989989200368328,1,0,0,1,0
1,12.301894826571571,5.401894826571571,1,0,0,1,1
1,14.05129047862842,6.3,1,0,0,0,0
1,12.762591758948135,5.737408241051865,1,1,0,1,1
1,12.7,5.675000915374369,1,0,1,1,0
1,12.054753376850933,5.209506753701864,1,1,1,0,0
1,12.018150895096408,5.175761011655955,1,0,1,1,0
1,12.534791401423137,5.965208598576862,1,1,0,0,1
1,12.721393338577693,5.610049325991232,1,0,0,0,1
1,13.976302446145485,6.3,1,0,0,0,0
0,12.715860608768248,5.989651521920618,1,0,0,0,1
0,12.638788672973114,5.796971682432786,1,0,0,0,1
1,12.667117544503636,7.0,1,0,0,1,0
0,12.249629098713601,5.6511127038591935,1,1,0,1,0
1,14.173870404027078,6.167033272751259,1,0,1,0,0
1,13.121102702417943,6.611558919032823,1,1,0,0,0
0,14.186661444011364,6.476295716001263,0,0,1,1,0
0,13.24023138282907,5.7,0,1,0,0,1
0,13.344829279282733,6.477585360358634,0,0,1,1,0
0,12.735144483270652,6.037861208176629,1,0,0,0,1
1,12.736995310361248,6.09176055168719,0,1,0,1,1
0,13.37195989533699,6.284120313989031,0,0,1,1,0
1,12.382787016057007,5.4827870160570065,1,0,0,1,1
1,13.923684138803655,6.3,1,0,0,0,0
1,12.660162983067451,5.104426335214727,1,0,1,1,0
0,12.414802645896572,5.6444079376897145,1,0,0,1,1
0,12.524572285281787,5.825712857863689,1,1,0,0,1
1,11.99966143258685,5.177815396379239,1,0,1,1,0
1,12.65325451398447,5.557790914335921,1,0,0,1,1
1,13.152564962856067,6.105270559682658,0,1,0,0,1
0,12.012413538863795,5.797931076856034,1,0,0,0,1
0,13.364409331791437,6.628818663582873,0,0,0,1,0
0,12.310053630012685,6.18324394997886,1,1,0,0,1
0,13.420524433883413,6.439737783058294,0,0,1,1,0
1,12.041795175057945,5.405077105034768,0,1,0,0,1
1,14.288427454196466,5.96083058244636,1,0,1,0,0
0,11.697739914709231,5.807910298517686,0,1,1,1,0
0,11.575442685419764,6.22809879793835,0,0,0,1,1
1,12.877417425881092,5.622582574118908,1,1,0,1,1
1,12.638822583421138,5.467764516684228,1,0,0,0,1
0,11.619072712023716,6.083245507916993,0,1,1,1,0
0,14.033002074094217,6.459222452677135,0,0,1,1,0
1,12.977959067297872,6.472448834122339,0,1,1,0,1
1,12.81571179585867,5.473673113694096,1,0,0,1,1
