long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
0,12.847919720493609,6.4880200698765975,0,0,0,1,1
0,11.596873601716856,5.893747203433713,0,0,1,0,1
1,12.73078685571354,6.958950859048611,1,1,0,0,0
0,13.452120118463844,5.7,0,1,0,0,1
0,12.678734246980108,5.778734246980108,1,1,0,0,1
0,13.485514377297376,6.357242811351313,0,0,0,0,1
1,13.577143046792544,6.407618984402486,1,1,0,0,0
0,13.104382703674982,6.284063783945831,0,0,0,1,1
1,11.85339381238754,7.001357524955016,0,1,1,0,0
1,14.032717755799569,6.3,1,0,0,0,0
1,12.25917651684623,6.969897064605779,1,0,0,1,0
1,14.33663113759244,5.87406395233361,1,0,1,0,0
0,12.026303676693743,5.795616053884376,1,0,0,0,1
1,13.323122072255952,6.492292642581349,1,1,0,0,0
0,12.738749870627869,6.04687467656967,1,0,0,0,1
1,14.415591427789169,5.731935429979497,1,0,1,0,0
0,11.5,6.0737303141859,0,0,0,1,1
1,11.723135106385,6.872237872338,1,0,0,1,0
0,12.741866986083336,6.054667465208339,1,0,0,0,1
1,12.880304784924286,6.68686985661619,1,1,1,0,0
1,12.381228045386765,7.0593859773066185,1,0,0,1,0
0,12.612648089121969,5.731620222804923,1,0,0,0,1
0,12.64777111290826,6.15222888709174,0,0,0,1,1
1,14.20098468336273,6.09803063327454,1,0,1,0,0
0,12.557924664686738,6.073773994060212,1,0,0,1,1
1,12.2935719269569,5.201607018260774,1,0,1,1,0
1,12.299924977822512,6.974990622227814,1,0,0,1,0
1,11.670353507383007,6.929646492616991,1,0,0,1,0
0,12.429593525455752,5.688780576367257,1,0,0,1,1
1,12.446806910422705,5.128132565508588,1,0,1,1,0
1,14.115190007049536,6.269619985900927,1,0,1,0,0
1,11.5996276860466,7.000372313953401,1,0,0,1,0
0,12.696572490252269,6.103427509747731,0,0,0,1,1
0,12.324341447455282,6.159430920907863,1,1,0,0,1
0,11.452253953360303,5.556761860080908,0,0,0,1,1
1,12.215878346548296,7.071959448849432,1,0,0,1,0
0,12.74795634961379,5.7,0,1,0,0,1
0,12.784341436997993,6.476512155496987,0,0,0,1,1
1,11.56195184513026,6.976096309739476,0,1,1,0,0
0,13.001081091251551,6.266846848541925,0,0,0,1,1
0,14.079177867661908,6.368453981094558,0,0,0,1,1
0,12.679227791169655,5.89806947792414,1,0,0,0,1
0,12.650217360125584,6.275326040188376,0,0,0,1,1
0,12.652003631985368,5.752003631985368,1,1,0,0,1
1,13.94221849433243,6.3,1,0,0,0,0
1,11.503269332503582,7.096730667496417,1,0,0,1,0
0,13.36254047599394,5.7,0,1,0,0,1
1,13.709724907766311,6.376110036893476,1,1,0,0,0
1,12.7,5.19003707472293,1,0,1,1,0
1,11.717203930986988,6.9057346436623295,1,0,0,1,0
0,12.475837124702018,5.827511374106054,1,0,0,1,1
1,12.457155684565503,6.97571556845655,1,0,0,1,0
1,13.0456018462399,6.6,1,1,0,0,0
1,11.9,5.218289463694763,0,1,1,1,0
1,12.831761745473925,7.020595636315195,1,1,0,0,0
0,11.588822884419391,5.877645768838786,0,0,1,0,1
1,14.21800429716419,6.0875922651044565,1,0,1,0,0
0,12.637991607252092,6.1620083927479055,0,0,0,1,1
1,12.499886052785286,5.166704649071571,1,0,1,1,0
1,12.926136402818264,6.673863597181735,1,1,0,0,0
0,12.130375453326772,5.778270757778872,1,0,0,0,1
1,11.947126873395002,5.183652569622778,1,0,1,1,0
1,13.106649799964543,6.564450066678486,1,1,0,0,0
0,12.678863537262837,5.778863537262836,1,1,0,0,1
0,12.534255366584622,5.809574389025631,1,1,0,0,1
1,12.55839718880998,5.147200937063339,1,0,1,1,0
1,12.330249621798938,6.978781202724868,1,0,0,1,0
0,12.735926169775642,6.2,1,0,0,0,1
0,12.404410743034648,5.6132322291039385,1,0,0,1,1
1,12.2407817565599,5.253072747813366,1,0,1,1,0
1,14.240090668496222,6.019818663007555,1,0,1,0,0
1,13.238524389315574,6.56459024427377,1,1,0,0,0
1,13.97281717789152,6.3,1,0,0,0,0
0,12.315939442933969,6.1734342617767215,1,1,0,0,1
1,14.203619614673118,6.092760770653765,1,0,1,0,0
0,12.065008480835662,5.7891652531940565,1,0,0,0,1
1,14.157539319168276,6.152834674760984,1,1,0,0,0
0,12.39797413957129,6.036709767381185,1,1,0,0,1
1,11.72137654825988,6.948550619303952,0,1,1,0,0
0,12.4527788386446,5.7583365159338,1,0,0,1,1
0,12.401649386150986,6.030584356415026,1,1,0,0,1
1,14.063971735182848,6.3,1,0,0,0,0
1,14.151411518519136,6.156336275131923,1,1,0,0,0
0,12.356281599162289,6.106197334729523,1,1,0,0,1
1,14.036769441626337,6.3,1,0,0,0,0
0,12.972300276311602,6.262050046051934,0,0,0,1,1
1,12.9,6.809866164631968,1,1,1,0,0
1,12.7,5.201484659944314,1,0,1,1,0
1,12.373465060182903,7.063267469908547,1,0,0,1,0
0,13.22921319658746,6.3,0,0,0,1,1
1,12.041456452993264,6.942682056624158,1,0,0,1,0
1,12.969371279465337,6.640838294046217,1,1,0,0,0
1,12.537725393855077,5.140568651536231,1,0,1,1,0
0,12.35747760079273,6.104203998678782,1,1,0,0,1
0,12.696379421206569,5.796379421206568,1,1,0,0,1
1,14.559040864255984,5.473726444339228,1,0,1,0,0
1,13.03357000578882,6.6,1,1,0,0,0
1,11.637482837453154,6.962517162546846,1,0,0,1,0
1,12.402847937011575,6.987855992126447,1,0,0,1,0
1,11.9,5.998246035453686,0,1,1,1,0
0,13.575538867845935,6.2945641928546525,0,0,0,1,1
1,11.9,5.224215600951474,0,1,1,1,0
0,12.422638381461953,5.995602697563417,1,1,0,0,1
1,12.47815571772768,5.173948094090772,1,0,1,1,0
0,12.832896897362476,6.238816149560413,0,0,0,1,1
0,12.453820966469058,5.761462899407172,1,0,0,1,1
0,12.691794173327684,5.791794173327685,1,1,0,0,1
1,11.729684074553662,5.452842154707759,1,0,1,1,0
1,14.0963293855403,6.3,1,0,0,0,0
1,14.263931829393194,5.972136341213615,1,0,1,0,0
1,12.021907658354044,7.068763063341618,0,1,1,0,0
0,12.703484730563506,6.355227095845258,0,0,0,1,1
1,13.210391504016656,6.529869498661115,1,1,0,0,0
1,14.2926514972801,5.914697005439801,1,0,1,0,0
1,14.37441736013844,5.806048751750811,1,0,1,0,0
0,12.69955155419605,6.1004484458039485,0,0,0,1,1
0,12.698484807186478,5.946212017966194,1,0,0,0,1
0,12.429599697732655,5.984000503778906,1,1,0,0,1
0,12.430798356022375,5.692395068067132,1,0,0,1,1
0,12.67897162751458,5.897429068786452,1,0,0,0,1
0,12.463905362105368,5.926824396491057,1,1,0,0,1
1,12.799297099376592,6.867603867497874,1,1,0,0,0
0,11.5,5.996684184743354,0,0,0,1,1
0,11.525659920210558,5.7513198404211145,0,0,1,0,1
1,14.264658746442676,5.970682507114652,1,0,1,0,0
0,12.345816626778763,6.123638955368728,1,1,0,0,1
0,13.079271282525688,6.279878547087614,0,0,0,1,1
1,11.858408326891466,5.258408326891464,1,0,1,1,0
1,12.07870946212251,5.169032281986388,1,0,1,1,0
0,13.571944407203462,6.3140277963982685,0,0,0,0,1
0,12.359770210024465,6.100382983292564,1,1,0,0,1
1,12.892054054682765,6.731783781268951,1,1,1,0,0
0,12.981131391278796,6.263521898546466,0,0,0,1,1
1,11.85703785334402,5.285924293311963,0,1,1,1,0
1,11.990814268599795,5.11837146280041,1,1,1,0,0
1,11.835492645899729,6.94516421529991,1,0,0,1,0
0,12.6308210091365,6.169178990863499,0,0,0,1,1
0,12.71034269963673,5.975856749091824,1,0,0,0,1
1,13.195159737240113,6.534946754253296,1,1,0,0,0
1,14.081136673154164,6.3,1,0,0,0,0
0,12.336261419782506,5.743956430036249,1,0,0,0,1
1,11.747571687022864,6.959028674809146,0,1,1,0,0
0,13.779483828943254,6.3256405469918935,0,0,0,1,1
1,14.191210547678322,6.573631643034966,1,0,1,0,0
1,11.7629431351227,5.255585297315952,1,0,1,1,0
1,12.123266853481804,5.164081460724244,1,0,1,1,0
0,12.462992190167968,5.928346349720053,1,1,0,0,1
0,12.76208917508713,6.105222937717826,1,0,0,0,1
1,12.926299254767208,6.698267660310388,1,1,0,0,0
0,11.921416943657148,6.001012102612249,0,0,1,0,1
1,14.095380575338671,6.3,1,0,0,0,0
0,12.497952839486551,5.870078600855745,1,1,0,0,1
1,12.7,5.695170658039159,1,0,1,1,0
1,12.7,5.469556352901355,1,0,1,1,0
0,12.228643884883828,5.761892685852695,1,0,0,0,1
0,12.73032849095468,6.0258212273866985,1,0,0,0,1
1,14.18743230255409,6.125135394891821,1,0,1,0,0
1,14.197517899111132,6.5925536973334,1,0,1,0,0
0,12.6029629146682,5.707407286670501,1,0,0,0,1
1,13.805225934026938,6.331591355324354,1,1,0,0,0
1,11.9,5.443433486811872,0,1,1,1,0
1,11.71162104477479,5.347298258708685,1,0,1,1,0
0,11.521043490967417,5.847304436771913,0,0,0,1,1
1,11.738184304354656,5.449751162052852,1,0,1,1,0
1,12.001753359857936,5.250876679928968,0,1,1,1,0
0,12.627254295925791,6.172745704074207,0,0,0,1,1
1,11.962983901066307,6.932872987633289,1,0,0,1,0
0,12.772341926982326,6.130854817455813,1,0,0,0,1
1,14.253546730274143,5.99290653945171,1,0,1,0,0
0,13.185399032930162,5.7,0,1,0,0,1
1,14.05601427970081,6.3,1,0,0,0,0
1,11.692039516095882,6.907960483904117,1,0,0,1,0
0,12.720313373013608,6.000783432534014,1,0,0,0,1
1,12.877506712807728,6.73373993078841,1,1,1,0,0
0,12.658662878849308,5.846657197123271,1,0,0,0,1
1,12.6607220825315,7.0,1,0,0,1,0
1,12.512499423914663,7.0,1,0,0,1,0
0,12.654811300136144,6.2,1,0,0,0,1
0,12.625007356308783,6.237511034463179,0,0,0,1,1
1,12.074534660759932,5.249069321519864,1,1,1,0,0
1,12.13262890935626,5.241842772660935,1,0,1,1,0
1,11.613396645161473,5.479905032257791,1,0,1,1,0
0,12.642269368152183,5.805673420380463,1,0,0,0,1
0,12.605807018111172,5.71451754527793,1,0,0,0,1
