long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
1,12.797784370107898,6.895568740215797,1,1,1,1,0
0,12.214588924648329,7.014588924648328,1,1,1,0,0
0,15.291142673031365,5.536714009547048,1,1,1,1,0
0,12.49016843986236,6.141452634266051,1,1,0,1,0
1,15.383191319093136,5.333617361813729,1,1,1,1,0
0,11.562095646623456,6.2826652368179055,0,1,1,1,0
1,11.89797783092328,5.998651887282186,1,1,1,1,0
1,14.8461021925107,5.782627740638377,1,1,1,1,0
0,12.750204073341234,5.925510183353087,1,1,1,1,0
0,15.173645822280593,5.452708355438815,1,1,1,1,0
1,11.53662151772384,5.654223102845201,0,1,1,1,0
1,11.693473451194244,5.359789823208635,1,0,1,1,0
0,14.354310544501756,5.808621089003514,1,0,1,1,0
0,14.204910929972122,6.547544535013939,1,1,1,1,0
0,15.38977052264726,5.4306884320582265,1,1,1,1,0
0,11.565980192029812,6.968039615940374,1,1,1,1,0
1,12.39317108178696,5.901365783642609,1,1,1,1,0
1,11.536687708628612,5.675541527580926,1,1,1,1,0
1,12.713450171047349,7.1,1,1,1,0,0
0,12.6506391198812,5.909078973194733,1,1,0,1,0
0,14.407614466044905,5.961927669775485,1,1,0,1,0
1,13.253677036259097,5.670583709927223,1,1,1,0,0
0,12.901384682803144,6.866205105732286,1,0,0,1,0
0,12.218761411095777,6.910443292556811,1,1,1,1,0
1,12.9,6.769034317619709,1,1,1,0,0
0,14.222101485489524,5.697373143138096,1,1,1,1,0
1,12.604188647110067,6.52094323555034,1,1,1,1,0
0,12.571538800340456,5.816795267063864,1,1,0,1,0
1,12.910554913671294,6.689445086328705,1,1,0,0,0
1,11.642037906545276,6.709395757000491,1,1,1,1,0
0,11.602977190740711,5.314885953703566,1,1,1,1,0
0,15.2,5.410614556434274,1,1,1,1,0
1,13.100943119966162,6.566352293344612,1,1,0,0,0
1,11.802351133629871,5.462748110616881,1,1,1,1,0
1,11.677920657612887,7.1,0,1,1,1,0
1,15.471262107934832,5.3,1,1,1,1,0
0,15.02630986278283,5.905239451131317,1,1,1,0,0
1,12.052364319662848,5.171959520037461,1,0,1,1,0
1,11.7059442147722,5.452866942273362,1,1,1,0,0
1,14.291368172651383,5.960422791440315,1,1,1,1,0
0,12.2,5.990092865532895,1,1,0,1,0
1,15.059532749723306,6.201168125691733,1,1,1,1,0
0,12.20634495608766,5.780965131737019,1,1,0,1,0
1,12.962030492855806,6.650626009525592,1,1,0,0,0
1,14.683441330784618,6.6,1,1,1,1,0
0,12.292033356167227,5.54779986299664,1,1,0,1,0
0,15.330492245347497,5.665246122673748,1,1,1,1,0
1,14.621428196130209,5.980357049032552,1,1,1,1,0
1,13.243080324906511,6.6379464500623255,1,1,1,1,0
0,12.639131809949353,6.953622730016883,1,0,0,1,0
1,15.187754554255946,6.714281879791631,1,1,1,1,0
1,11.5,5.7176239072245085,1,1,1,1,0
1,15.2,6.946344357497457,1,1,1,0,0
1,15.2,6.856834532602807,1,1,1,0,0
0,14.538345331085052,5.653381324340213,1,1,0,1,0
0,11.7,6.504912146990166,1,1,1,1,0
1,15.346353178378854,5.392188092972687,1,1,1,1,0
0,14.4,5.942797215973562,1,1,1,1,0
0,14.223081173135997,5.776918826864005,0,1,1,1,0
1,12.6498650820741,7.1,1,1,1,0,0
0,12.49392820799947,5.8,1,1,0,1,0
1,14.662441656620322,5.924976662648129,1,1,0,1,0
1,13.524808472921675,5.637212709382513,1,1,1,0,0
1,13.551985052873228,6.7007940211492905,1,1,1,1,0
0,14.24817222040133,5.75182777959867,0,1,1,1,0
0,12.736406601317851,6.4,1,1,1,1,0
1,12.052735617999751,5.347264382000248,1,1,1,1,0
0,11.674175947689095,5.670879738445482,1,1,1,1,0
0,14.40607811686294,6.024312467451761,1,1,1,1,0
1,15.045297890748053,6.696865260498701,1,1,1,1,0
0,12.803787470930798,6.059468677326997,1,1,1,1,0
1,11.844945919318375,5.244945919318374,1,0,1,1,0
0,15.39582732461762,5.701043168845596,1,1,1,1,0
1,11.697683030192104,6.874076536923308,1,1,1,1,0
1,11.899924263652832,5.999949509101888,1,1,1,1,0
1,14.181678255856813,6.152979139457736,1,0,1,0,0
0,12.338318169388756,6.119759738484108,1,1,0,1,0
0,15.206402591528928,5.419207774586783,1,1,1,1,0
1,14.35676103845624,5.837830130778765,1,0,1,0,0
0,12.2,6.0559966846996,1,1,0,1,0
0,15.4260732929171,6.0369633535414495,1,1,1,0,0
1,14.979071847312916,5.6,1,1,1,1,0
1,13.597673235176837,5.7818614118585305,0,1,1,1,0
0,11.589716258503064,6.910283741496936,0,1,1,0,0
1,12.227152331587886,6.517218652703093,1,1,1,1,0
0,14.311154990734686,5.611154990734685,1,1,1,1,0
1,13.889225656241992,6.164915918738789,1,1,1,1,0
1,12.045701553996858,5.263574611500785,1,0,1,1,0
0,14.465994699152125,6.263978796608497,1,1,1,1,0
1,12.005663655655283,7.1,0,1,1,1,0
0,13.7,5.283738385339336,1,1,1,1,0
0,14.258819590650733,5.81764587719522,0,1,1,1,0
0,15.118799137565324,6.959399568782663,1,1,1,1,0
1,11.547184297483762,5.852815702516239,1,1,1,1,0
0,12.803955072933626,7.06440434359737,1,1,0,1,0
0,14.42800769502337,5.892011542535053,1,0,1,1,0
1,12.768476844594929,5.754781475675944,1,1,1,1,0
0,14.319866063517132,5.7,1,1,1,1,0
0,14.164064103497903,5.835935896502096,1,1,1,1,0
0,14.17253246410128,5.881974028718978,1,1,1,1,0
0,15.353665670077394,5.711583582480652,1,1,1,1,0
1,11.764436718686513,5.898327539014884,1,1,1,1,0
0,15.222013337305963,5.577986662694036,1,1,1,1,0
1,11.5,5.833402979880398,1,1,1,1,0
1,14.712925264847058,5.6,1,1,1,1,0
1,12.628650275490372,7.1,1,1,1,1,0
0,14.528728199704146,5.61491279881658,1,1,0,1,0
1,14.693525031439432,5.587050062878866,1,0,1,1,0
1,12.1073672670914,6.207367267091401,1,1,1,1,0
0,14.48813909986369,5.98813909986369,1,0,1,1,0
1,12.711911688061424,6.515987384008775,1,1,1,1,0
1,14.536999712768946,5.513400517015896,1,0,1,0,0
0,15.221789306418916,5.621789306418917,1,1,1,1,0
0,15.382571737992878,5.6738576069893165,1,1,1,1,0
1,11.649364379331107,5.937341094832777,1,1,1,1,0
0,13.87779669037812,6.722203309621882,1,1,1,1,0
0,14.044321530144323,5.472160765072162,1,1,1,1,0
1,13.666567111199855,5.958507555400249,1,1,1,1,0
0,14.184503328965915,6.586198668413634,1,0,1,1,0
1,14.753292550883572,6.428841309364167,1,1,1,1,0
1,14.092651901323832,5.830883967107945,0,1,1,1,0
1,13.799866636050922,6.800400091847237,1,1,1,1,0
1,14.638613022204757,5.871040233346432,1,1,0,1,0
0,14.360851234252536,5.7,1,1,1,1,0
0,13.871722141647004,5.734344428329401,0,1,1,1,0
0,11.588408678889897,6.4823182642220205,0,1,1,1,0
1,12.087970778611329,5.962405844277735,1,1,1,1,0
0,11.676827592657665,5.881103425698179,0,1,1,1,0
0,12.830949336798888,6.821455968810022,1,1,0,1,0
1,11.825177265589447,5.981294316397362,1,1,1,1,0
0,13.079077337189933,6.061230217080091,1,1,1,0,0
0,14.416886103556465,5.666227792887077,1,1,0,1,0
1,12.647248502537138,6.736242512685691,1,1,1,1,0
1,13.745682212512582,6.311139912613242,1,1,1,1,0
1,13.759603165341357,5.983444431477898,1,1,1,1,0
0,11.59820226688238,6.892809067529523,0,1,1,0,0
0,13.98547808899676,5.490318725997841,1,1,1,1,0
0,12.208039313827936,6.0517641170323815,1,1,0,1,0
0,14.711429230636131,5.751904871772689,1,1,1,1,0
1,14.917530701908191,5.5067725563250605,1,1,1,1,0
1,11.979359146703365,5.180071205921848,1,0,1,1,0
0,15.156157569195958,6.97807878459798,1,1,1,1,0
0,14.37659237960159,5.906369518406354,1,1,1,1,0
0,13.316434060122829,6.532868120245654,0,0,0,1,0
1,15.156972866933913,5.872108532264353,1,1,1,1,0
1,15.2,7.0,1,1,1,0,0
1,11.572925187131649,7.0166569289924015,1,1,1,1,0
0,14.4330484292398,6.0,1,0,1,1,0
0,15.17285495206814,6.813572523965929,1,1,1,1,0
0,11.956944100757324,6.313888201514646,1,1,1,1,0
0,15.241366999271124,5.964388334548128,1,1,1,0,0
0,15.306110707846894,5.7,1,1,1,1,0
1,12.25346845255149,6.727747620411919,1,1,1,1,0
1,15.150142724115346,6.933523632153795,1,1,1,1,0
1,12.246259943017405,5.39750662867827,1,1,1,1,0
1,13.860224731768882,5.9,1,1,1,1,0
0,14.103634684333391,6.618546126266644,1,0,1,1,0
0,14.31539433095536,5.915394330955359,0,1,1,1,0
0,12.623242265818108,5.742431699363582,1,1,0,1,0
0,14.486100411586351,5.569497942068237,1,1,0,1,0
0,15.47758479338214,5.865508760292848,1,1,1,1,0
1,13.951539291240476,6.3,1,0,0,0,0
0,14.21725881101388,6.536548237797224,1,0,0,1,0
1,15.10952650101541,6.166685507107865,1,1,1,1,0
0,12.75289227579463,6.028374321760403,1,1,0,1,0
0,11.6,5.522192513319028,1,1,1,1,0
1,14.853650116282124,6.00146004651285,1,1,0,1,0
0,14.98207289793278,6.88207289793278,1,1,1,1,0
1,14.251390471254968,6.240266701215229,1,1,1,1,0
0,13.7,5.123160977869481,1,1,1,1,0
1,11.527418916794923,5.872581083205075,1,1,1,1,0
1,13.733094839473573,7.000715481579282,1,1,1,1,0
0,14.463634812526706,5.963634812526705,1,0,1,1,0
1,13.703893370728936,7.088319887813189,1,1,1,1,0
0,11.98159372230164,5.8,1,1,1,1,0
1,12.54245584254078,7.0,1,0,0,1,0
1,11.651858157496616,5.465427895002255,1,0,1,1,0
1,11.840190580475852,5.319618839048298,0,1,1,1,0
0,15.381316559370545,5.7,1,1,1,1,0
0,12.802455724415806,6.2349704829438695,1,1,1,1,0
0,12.793818476622029,6.362910859732163,1,1,1,1,0
0,11.823085713195947,6.046171426391895,1,1,1,1,0
1,15.103139962981274,6.121979740868919,1,1,1,1,0
0,12.921623101063233,6.085584599291179,1,1,1,0,0
0,12.638730569877472,6.953756476707509,1,0,0,1,0
1,15.070571645942064,6.827428861256085,1,1,1,1,0
0,15.49363286669342,5.961797200160527,1,1,1,1,0
0,15.25632012204705,5.987359755905899,0,1,1,1,0
0,12.209605266536755,7.001921053307352,1,1,1,0,0
1,15.25662970304794,5.407527722714044,1,1,1,1,0
1,15.451110685713626,5.3,1,1,1,1,0
0,14.448572850455744,5.845718551367235,1,0,1,1,0
1,11.529331229153945,5.641337541692109,1,0,1,1,0
1,14.948272170969414,6.479319572576464,1,1,1,1,0
0,14.417712059569912,6.070848238279642,1,1,1,1,0
1,11.9,5.240488672605739,0,1,1,1,0
1,13.167296692948288,7.0467296692948285,1,1,1,1,0
0,11.783886650896394,6.616113349103607,1,1,1,1,0
0,11.798703945990791,6.440259210801842,0,1,1,1,0
0,12.227908499339977,6.931786498459938,1,1,1,1,0
0,11.562113332085586,5.451546671657659,1,1,1,1,0
0,14.3,5.677003931568213,1,1,1,1,0
0,13.896957146433536,6.7030428535664655,1,1,1,1,0
1,12.230882021568451,6.238235956863094,1,1,1,1,0
1,13.82811150851304,5.9,1,1,1,1,0
1,12.127726073143762,5.954454785371248,1,1,1,1,0
0,14.320591795652328,5.682367182609308,1,1,1,1,0
0,11.634838751111522,5.474193755557606,1,1,1,1,0
0,15.391772580909125,5.7,1,1,1,1,0
0,12.75428221138767,6.720024520286311,1,1,1,1,0
0,14.33085555725847,5.7,1,1,1,1,0
1,15.332783320313604,5.3288071484370265,1,1,1,1,0
0,13.191414601720586,6.445707300860293,0,0,1,1,0
0,12.357811283756222,5.8,1,1,1,1,0
0,12.580883423620406,6.973038858793198,1,0,0,1,0
0,14.4,5.915135346183791,1,1,1,1,0
