long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
1,12.82388305054999,5.492038983150004,1,0,0,0,1
0,11.707450322244004,5.8149006444880085,1,1,1,1,0
0,14.4,6.015996671896695,1,0,1,1,0
1,13.773702157967874,5.510519136812851,0,0,0,0,1
0,12.308814027966577,6.365687330225936,1,1,1,1,0
1,13.065518582288028,5.218390953587559,0,0,0,0,1
0,12.723607514433626,7.005569942265495,1,1,1,1,0
0,14.449958050416493,6.0,1,0,1,1,0
0,13.87779669037812,6.722203309621882,1,1,1,1,0
0,11.74055072018861,6.659449279811391,1,1,1,1,0
0,15.232788791784223,5.643718389045631,1,1,1,1,0
0,12.772358945890632,6.593487378765572,1,1,1,1,0
0,12.468177830006438,6.4,1,1,1,1,0
0,15.053161832297992,5.989228245340961,1,1,1,0,0
0,14.366441378981182,5.7,1,1,1,1,0
0,12.545182957614674,6.127408521192662,1,1,1,1,0
0,12.2,6.035567856403098,1,1,0,1,0
1,13.973073968352905,5.780778094941294,0,0,0,0,1
1,11.649435970273606,5.668546765754645,0,0,0,0,1
0,11.87704213604992,6.818028090699948,1,1,1,1,0
1,14.2,6.379471508957115,0,0,0,0,1
1,12.769103168333642,6.019517871249307,0,1,0,1,1
0,14.168959829354636,5.50196556801826,1,1,1,1,0
1,13.071067226060462,5.385533613030232,1,0,0,0,1
0,12.831780836928692,6.190254405275527,1,1,0,1,0
1,13.857390897719135,5.3,0,0,0,0,1
0,12.789579604764056,6.337477628584328,1,1,1,1,0
1,12.040938334924356,5.340938334924358,0,1,0,0,1
0,11.69047030079181,5.833353947228661,0,1,1,1,0
1,14.09329808129055,6.371957697548661,0,0,0,0,1
1,13.723552798455325,5.911776399227662,0,0,0,0,1
0,15.238839318038387,5.944642727846445,0,1,1,1,0
1,13.363568965790815,6.045477011403061,0,0,0,0,1
0,14.259180137352818,5.740819862647182,1,1,1,1,0
1,14.165806978240155,5.3,0,0,0,0,1
0,12.54293622761572,5.8,1,1,0,1,0
1,13.716692171733577,6.0,0,0,0,0,1
1,13.526457233707209,6.078307154213401,0,0,1,0,1
0,15.41066840268382,5.86600260402573,1,1,1,1,0
0,14.308292573103293,5.773365941517367,1,1,1,1,0
1,14.158313021663556,5.216626043327112,0,0,0,0,1
0,15.0958614028655,6.85206929856725,1,1,1,1,0
0,12.533036650528214,6.133481674735893,1,1,1,1,0
1,13.780903684017744,5.172361473607098,0,0,0,0,1
1,12.998542941355057,5.499791848765008,1,0,0,1,1
0,11.6,5.522192513319028,1,1,1,1,0
1,13.333233120746833,6.1889222930843895,0,0,0,0,1
0,13.735087558169546,5.129239631807955,1,1,1,1,0
0,14.361556690257084,5.7,1,1,1,1,0
1,13.237198927714427,5.1518287246122245,0,0,0,0,1
0,15.236536927116068,5.563463072883935,1,1,1,1,0
0,15.284878241694486,5.527317362541728,1,1,1,1,0
0,12.275439023412302,5.8,1,1,0,1,0
0,12.793818476622029,6.362910859732163,1,1,1,1,0
1,13.8,5.448172525992355,0,0,0,0,1
0,11.99921343326856,7.06240167915857,1,1,1,0,0
0,12.570768801829995,6.092692200457499,1,1,0,1,0
1,11.447708063064152,5.9,0,0,0,0,1
1,14.075808706753088,5.3,0,0,0,0,1
1,11.901275539961846,5.4,1,0,0,0,1
1,13.969416057416309,5.415291971291847,0,0,0,0,1
1,11.852857329903546,6.352857329903546,0,0,0,0,1
0,12.225740488847936,7.025740488847936,1,1,1,0,0
1,13.039821206849304,6.277245024657541,0,0,0,0,1
0,11.589716258503064,6.910283741496936,0,1,1,0,0
1,13.917473035831442,6.1116486905542935,0,0,0,0,1
1,12.810968360153897,5.925321189653734,0,1,0,1,1
1,12.277650648977868,5.207449783674044,0,0,0,0,1
0,14.315130118477027,5.745390355431078,1,1,1,1,0
0,12.311571227886812,7.1,1,1,1,1,0
0,12.69272887856554,7.027288785655408,1,1,1,1,0
0,11.53523670456655,6.947144943150174,1,1,1,0,0
1,14.037052189215384,5.3,0,0,0,0,1
1,14.176645524599769,5.25329104919954,0,0,0,0,1
0,13.7,5.119778167996463,1,1,1,1,0
1,12.151037666530154,5.299538814875486,0,0,0,0,1
1,12.955430066853948,5.544569933146052,1,1,0,0,1
1,12.826925308315252,5.446149383369499,1,0,0,0,1
0,12.866125120436056,6.504873916075498,1,1,0,1,0
1,14.001642730080418,6.169404550134031,0,0,0,0,1
1,14.118045358975431,5.3,0,0,0,0,1
0,12.183796768568511,6.828859126659861,1,1,1,1,0
0,14.30848537426419,5.7,1,1,1,1,0
1,11.685889924713162,5.66646175450131,0,1,0,0,1
0,12.149960905376476,6.987470679032356,0,1,1,1,0
1,13.959139502927677,5.822581491216972,0,0,0,0,1
0,12.886791398789828,7.042139067473449,1,0,0,1,0
0,14.35939062602256,5.65939062602256,1,1,1,1,0
1,13.258423885882856,6.080525371372381,0,0,0,0,1
0,14.48813909986369,5.98813909986369,1,0,1,1,0
1,11.4,5.99612756588814,0,0,0,0,1
1,13.007051243140108,5.307051243140108,0,0,0,0,1
1,13.778371886087898,6.0,0,0,0,0,1
1,14.156745365530126,6.265396292424101,0,0,0,0,1
0,15.459713348521744,5.8791400455652285,1,1,1,1,0
1,13.656146187426568,5.212292374853136,0,0,0,0,1
0,14.429043228360197,6.35478385819903,1,0,1,1,0
0,14.952301741772011,6.852301741772012,1,1,1,1,0
1,14.133140476472745,5.3,0,0,0,0,1
1,13.9,6.0319061619775365,0,0,0,0,1
1,12.887579670603625,5.324840658792755,1,0,0,0,1
0,14.264034215290408,5.671931569419185,0,1,1,1,0
0,12.710726122060253,6.173817414706835,1,1,1,1,0
0,11.7,6.03673100074544,1,1,1,1,0
1,13.40634495608766,6.09365504391234,0,0,0,0,1
0,12.20874055088311,6.002185137720778,1,1,0,1,0
0,15.342785589637062,5.614178384455592,1,1,1,1,0
1,13.716838269236824,5.8326469230527,0,0,0,0,1
0,14.4,6.150736218515294,1,0,1,1,0
0,14.540598729909192,5.75640762054485,1,0,1,1,0
1,13.268173399595389,5.1737392445343575,0,0,0,0,1
0,13.013591494966304,6.828802835011232,1,0,0,1,0
1,13.70881710242442,5.1,0,0,0,0,1
0,14.393777730462116,5.7,1,1,1,1,0
1,13.878780405410597,5.1,0,0,0,0,1
0,12.377720614390029,6.0444301535975065,1,1,0,1,0
1,11.66140720236966,5.512864265876779,0,0,0,0,1
1,14.2,6.447242273603253,0,0,0,0,1
0,14.905277297265329,6.615831891795986,1,1,1,1,0
1,14.1,5.119517500284189,0,0,0,0,1
1,12.294708047208127,5.618385059010162,0,1,1,0,1
1,13.920312788620487,5.939061634138538,0,0,0,0,1
0,14.350952159279194,5.650952159279194,1,1,1,1,0
0,12.007381048829243,6.682886844481723,1,1,1,0,0
0,12.661923312096349,5.8,1,1,0,1,0
0,11.765117846362946,6.446976430727411,0,1,1,1,0
1,11.470553753598828,5.811661260796484,0,0,0,0,1
1,11.4,5.637666683538152,0,0,0,0,1
1,12.924510415933378,6.012255207966689,0,0,0,0,1
1,13.315716866050131,5.140611876278553,0,0,0,0,1
0,15.044627317942362,5.755372682057638,1,1,1,1,0
0,15.309334105736523,5.4,1,1,1,1,0
0,12.2,5.98460889102741,1,1,0,1,0
1,12.964509744564266,6.193529233692796,0,0,0,0,1
0,12.68978534185378,6.234678012780669,1,1,1,1,0
1,11.52930069350026,6.5,0,0,0,0,1
1,12.670553520814842,5.474110704162968,1,0,0,0,1
0,12.489843358149338,6.082812388042669,1,1,0,1,0
1,13.547168599788655,5.976415700105672,0,0,0,0,1
0,15.4260732929171,6.0369633535414495,1,1,1,0,0
1,12.868362504521892,5.477212498492703,1,0,0,0,1
0,14.306153368598114,5.7,1,1,1,1,0
1,11.982331102371685,5.311779265085542,0,0,0,0,1
