iter	Passed	Remaining
0	0	788
1	1	757
2	2	748
3	2	736
4	3	722
5	4	720
6	5	715
7	5	714
8	6	713
9	7	712
10	7	709
11	8	704
12	9	701
13	9	700
14	10	699
15	11	699
16	11	685
17	12	685
18	13	676
19	13	676
20	14	676
21	15	674
22	15	673
23	16	672
24	17	671
25	17	669
26	18	668
27	19	667
28	19	666
29	20	666
30	21	666
31	22	667
32	22	665
33	23	666
34	24	666
35	24	666
36	25	664
37	26	663
38	26	663
39	27	663
40	28	663
41	29	663
42	29	661
43	30	661
44	31	661
45	31	660
46	32	660
47	33	660
48	33	659
49	34	658
50	35	658
51	36	658
52	36	656
53	37	655
54	38	655
55	38	655
56	39	654
57	40	656
58	41	655
59	41	655
60	42	654
61	43	653
62	43	653
63	44	651
64	45	650
65	45	649
66	46	648
67	47	647
68	47	646
69	48	645
70	49	644
71	49	643
72	50	642
73	51	641
74	51	641
75	52	641
76	53	640
77	54	639
78	54	638
79	55	637
80	56	637
81	56	636
82	57	635
83	58	634
84	58	634
85	59	633
86	60	633
87	61	632
88	61	631
89	62	630
90	63	629
91	63	629
92	64	627
93	65	626
94	65	626
95	66	625
96	67	625
97	67	624
98	68	623
99	69	626
100	70	626
101	71	625
102	71	623
103	72	621
104	72	619
105	73	617
106	73	616
107	74	614
108	75	613
109	75	612
110	76	610
111	76	608
112	77	607
113	77	605
114	78	604
115	79	604
116	79	603
117	80	602
118	81	602
119	82	601
120	82	601
121	83	601
122	84	600
123	84	599
124	85	599
125	86	599
126	87	598
127	87	598
128	88	598
129	89	597
130	90	597
131	90	597
132	91	596
133	92	595
134	92	595
135	93	594
136	94	594
137	95	593
138	95	592
139	96	592
140	97	591
141	97	590
142	98	590
143	99	589
144	99	588
145	100	587
146	101	587
147	101	586
148	102	585
149	103	585
150	103	584
151	104	584
152	105	583
153	106	582
154	106	582
155	107	581
156	108	580
157	108	580
158	109	579
159	110	578
160	110	577
161	111	577
162	112	576
163	113	576
164	113	575
165	114	574
166	115	574
167	115	573
168	116	572
169	117	572
170	118	573
171	118	572
172	119	571
173	120	570
174	120	570
175	121	569
176	122	568
177	122	567
178	123	567
179	124	566
180	125	565
181	125	565
182	126	564
183	127	563
184	127	563
185	128	562
186	129	561
187	129	561
188	130	560
189	131	560
190	132	559
191	132	559
192	133	558
193	134	557
194	134	556
195	135	556
196	136	555
197	136	554
198	137	553
199	138	553
200	138	552
201	139	551
202	140	551
203	141	550
204	141	549
205	142	549
206	143	548
207	143	547
208	144	546
209	145	546
210	145	545
211	146	544
212	147	543
213	147	543
214	148	542
215	149	541
216	150	541
217	150	540
218	151	539
219	152	539
220	152	538
221	153	537
222	154	537
223	154	536
224	155	535
225	156	535
226	156	534
227	157	533
228	158	532
229	159	532
230	159	531
231	160	530
232	161	530
233	161	529
234	162	529
235	163	528
236	163	527
237	164	527
238	165	526
239	166	525
240	166	524
241	167	523
242	167	522
243	168	522
244	169	521
245	169	520
246	170	519
247	171	519
248	171	518
249	172	517
250	173	517
251	174	516
252	174	516
253	175	515
254	176	514
255	176	513
256	177	513
257	178	512
258	178	512
259	179	511
260	180	510
261	181	510
262	181	509
263	182	508
264	183	508
265	183	507
266	184	506
267	185	506
268	185	505
269	186	504
270	187	503
271	188	503
272	188	502
273	189	501
274	190	501
275	190	500
276	191	499
277	192	499
278	192	498
279	193	497
280	194	496
281	194	496
282	195	495
283	196	494
284	196	494
285	197	493
286	198	492
287	199	492
288	199	491
289	200	490
290	201	490
291	201	489
292	202	488
293	203	488
294	203	487
295	204	486
296	205	485
297	206	485
298	206	484
299	207	483
300	208	483
301	208	482
302	209	481
303	210	481
304	210	480
305	211	479
306	212	479
307	212	478
308	213	477
309	214	477
310	215	476
311	215	475
312	216	475
313	217	474
314	217	473
315	218	473
316	219	472
317	219	471
318	220	470
319	221	470
320	222	469
321	222	469
322	223	468
323	224	467
324	224	466
325	225	466
326	226	465
327	226	464
328	227	464
329	228	463
330	229	462
331	229	462
332	230	461
333	231	460
334	231	459
335	232	459
336	233	458
337	233	458
338	234	457
339	235	456
340	235	455
341	236	455
342	237	454
343	238	453
344	238	453
345	239	452
346	240	451
347	240	451
348	241	450
349	242	449
350	242	449
351	243	448
352	244	447
353	245	447
354	245	446
355	246	445
356	247	445
357	247	444
358	248	443
359	249	443
360	249	442
361	250	441
362	251	440
363	252	440
364	252	439
365	253	438
366	254	438
367	254	437
368	255	436
369	256	436
370	256	435
371	257	434
372	258	434
373	258	433
374	259	432
375	260	432
376	261	431
377	261	430
378	262	430
379	263	429
380	263	428
381	264	428
382	265	427
383	265	426
384	266	425
385	267	425
386	269	426
387	270	426
388	270	425
389	271	424
390	272	424
391	273	423
392	274	423
393	274	422
394	275	422
395	276	421
396	277	420
397	277	420
398	278	419
399	278	418
400	279	417
401	280	416
402	280	415
403	281	415
404	282	414
405	282	413
406	283	413
407	284	412
408	285	411
409	285	411
410	286	410
411	287	409
412	287	409
413	288	408
414	289	407
415	289	407
416	290	406
417	291	405
418	292	405
419	292	404
420	293	403
421	294	403
422	294	402
423	295	401
424	296	400
425	297	400
426	297	399
427	298	398
428	299	398
429	299	397
430	300	396
431	301	396
432	302	395
433	302	394
434	303	394
435	304	393
436	304	392
437	305	392
438	306	391
439	307	390
440	307	390
441	308	389
442	309	388
443	309	388
444	310	387
445	311	386
446	312	386
447	312	385
448	313	384
449	314	384
450	314	383
451	315	382
452	316	382
453	317	381
454	317	380
455	318	380
456	319	379
457	320	378
458	320	378
459	321	377
460	322	376
461	322	376
462	323	375
463	324	374
464	325	373
465	325	373
466	326	372
467	327	372
468	328	371
469	328	370
470	329	370
471	330	369
472	330	368
473	331	367
474	332	367
475	332	366
476	333	365
477	334	365
478	334	364
479	335	363
480	336	362
481	337	362
482	337	361
483	338	360
484	339	360
485	339	359
486	340	358
487	341	358
488	342	357
489	342	356
490	343	356
491	344	355
492	344	354
493	345	353
494	346	353
495	347	352
496	347	352
497	348	351
498	349	350
499	349	349
500	350	349
501	351	348
502	352	347
503	352	347
504	353	346
505	354	345
506	354	345
507	355	344
508	356	343
509	357	343
510	357	342
511	358	341
512	359	341
513	359	340
514	360	339
515	361	338
516	362	338
517	362	337
518	363	336
519	364	336
520	364	335
521	365	334
522	366	334
523	367	333
524	367	332
525	368	332
526	369	331
527	370	330
528	370	330
