age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
39,3,105276,11,9,2,9,0,2,0,0,425,40,38,1
42,3,218110,9,11,2,2,0,4,0,0,904,46,38,1
26,3,157860,11,13,3,9,0,4,0,601,0,54,38,1
45,3,304746,15,10,2,5,2,3,0,0,0,40,30,1
36,5,212431,9,13,2,0,4,4,1,0,217,22,38,1
37,3,256623,13,9,2,1,1,4,0,0,0,42,38,1
29,3,163026,8,11,2,9,0,4,0,4336,0,52,38,1
41,3,211159,11,10,2,7,5,4,1,0,0,38,24,1
39,4,267725,14,10,0,3,2,3,0,0,1459,67,20,1
50,3,141523,13,9,0,7,2,4,0,0,0,49,38,1
49,3,87231,11,11,2,4,5,4,1,0,0,40,38,1
40,4,62991,14,9,1,6,4,4,1,0,0,16,38,1
36,4,166770,11,9,2,12,0,4,0,0,0,44,38,1
47,3,117914,15,10,2,6,2,4,0,1318,0,28,38,1
29,3,144687,13,14,2,7,0,4,0,0,0,48,38,1
35,3,286093,11,13,2,8,0,4,0,0,599,46,29,1
41,3,169827,13,9,2,5,0,4,0,0,0,48,38,1
40,3,216069,8,12,0,3,1,4,1,0,0,44,38,1
63,4,64102,9,13,2,9,1,4,0,15340,0,43,38,1
52,3,102797,11,9,2,3,0,4,0,0,268,35,38,1
34,2,339346,9,13,1,4,0,4,0,0,0,40,38,1
67,4,59990,9,13,2,9,0,4,0,17900,0,44,38,1
38,4,116614,14,10,2,7,4,4,0,0,0,20,38,1
47,4,117237,11,11,2,9,2,4,0,0,0,31,38,1
38,3,341454,7,12,3,8,0,2,0,8507,773,44,20,1
51,3,191462,12,9,1,8,0,4,0,0,0,43,38,1
35,3,115093,12,11,2,3,5,4,1,0,0,21,38,1
48,2,96272,11,10,2,4,1,4,0,0,1277,40,38,1
42,3,142534,14,10,0,10,3,4,0,0,0,54,38,1
57,3,140158,10,9,2,2,0,4,0,0,184,43,38,1
56,4,24847,8,10,2,2,0,4,0,0,0,40,38,1
46,1,171029,8,11,2,0,4,4,0,0,0,35,38,1
51,1,77766,11,13,2,7,5,4,1,0,0,40,38,1
44,3,211182,8,11,2,12,5,4,1,0,0,38,38,1
47,3,144201,9,12,2,2,0,4,0,0,0,44,38,1
43,3,203700,9,13,3,9,1,4,1,0,0,40,38,1
40,3,215246,13,10,1,3,0,4,0,4964,0,58,38,1
40,3,115386,9,9,2,5,3,4,1,0,0,40,33,1
36,5,212035,9,13,2,0,5,4,1,0,0,20,38,1
35,3,337436,7,12,3,11,0,2,0,13182,0,40,10,1
38,3,249846,14,9,2,2,0,4,0,0,0,46,38,1
46,5,97949,11,9,2,1,5,4,1,0,0,40,38,1
40,3,213314,9,10,2,10,4,4,0,1224,0,42,38,1
35,3,167066,9,13,2,8,4,4,1,0,0,22,38,1
33,3,166876,8,12,2,8,4,4,0,312,0,21,38,1
42,3,167829,9,11,3,9,0,4,0,0,0,49,38,1
42,2,378212,9,12,2,8,0,4,0,0,0,39,38,1
45,1,82131,12,14,2,9,5,4,1,0,0,40,38,1
38,2,300521,9,13,2,4,5,3,1,0,0,40,38,1
52,5,190075,9,15,3,3,0,4,0,0,0,47,38,1
40,3,216228,9,13,0,3,1,4,1,0,67,45,38,1
31,2,268261,10,9,2,2,5,3,1,0,0,36,38,1
54,3,103428,12,9,2,2,0,4,0,0,0,36,38,1
47,5,100925,11,9,2,0,4,4,0,0,113,40,38,1
49,3,158874,13,11,2,3,3,4,0,0,0,44,38,1
46,3,104202,11,9,2,6,0,3,0,0,0,37,38,1
40,3,133659,11,9,2,10,2,4,1,0,52,24,38,1
54,1,71882,11,13,2,9,4,4,0,3510,0,40,38,1
44,3,144466,9,13,2,2,0,4,0,0,0,44,38,1
67,3,165086,11,9,1,9,0,4,0,0,0,40,21,1
50,4,102027,12,9,2,0,3,4,0,0,0,40,38,1
52,1,31742,11,9,0,1,1,4,1,1139,0,39,38,1
39,5,65687,14,10,2,7,4,4,0,135,0,15,38,1
34,1,218095,9,13,1,6,3,4,1,0,0,34,38,1
32,3,235918,7,11,2,3,4,4,0,0,0,54,38,1
38,3,247073,12,10,2,2,1,4,0,0,0,50,38,1
40,4,263822,15,10,0,2,1,4,0,0,1270,65,22,1
40,3,214621,14,10,2,3,0,4,0,6636,0,62,38,1
47,3,141436,12,11,0,8,2,4,0,0,0,51,38,1
40,3,71835,13,11,2,7,5,4,1,0,0,23,38,1
30,3,175975,10,13,2,3,0,4,0,0,0,52,22,1
45,2,39713,11,10,2,7,2,4,0,4168,0,37,38,1
50,1,35099,12,9,0,4,0,4,0,0,0,41,38,1
30,6,130556,8,10,2,13,4,0,1,0,0,36,38,1
40,3,216205,9,13,0,3,1,4,1,0,254,45,38,1
44,3,215959,11,13,3,3,1,4,1,0,2268,49,38,1
50,2,407523,5,7,2,4,2,4,0,0,1032,35,38,1
46,1,171094,7,11,2,0,4,4,0,0,0,35,38,1
38,3,272977,11,11,1,3,0,4,0,0,1734,59,29,1
26,2,231550,10,9,2,6,0,4,0,0,0,37,38,1
41,3,104894,11,9,2,8,0,2,0,0,637,40,38,1
61,3,188458,10,11,5,1,2,4,1,0,0,41,38,1
49,2,399398,11,9,2,1,2,4,0,0,1090,39,38,1
40,3,348779,9,13,2,3,0,4,0,0,1751,49,38,1
40,3,214776,8,12,0,7,2,4,1,0,0,41,38,1
26,3,234000,10,9,2,5,0,4,0,0,0,41,38,1
40,4,67102,14,10,2,7,5,4,1,0,0,18,38,1
30,6,130755,8,10,2,13,4,1,1,0,0,35,38,1
45,3,116108,9,13,2,6,1,4,0,0,0,34,38,1
56,1,70674,11,13,2,9,3,4,0,4972,0,41,38,1
29,3,357286,9,13,2,8,4,4,0,0,315,41,38,1
25,3,324481,10,9,2,11,0,3,0,0,0,40,38,1
39,3,250107,13,10,2,2,0,4,0,0,0,49,38,1
56,3,120883,14,10,2,6,0,3,0,2730,0,40,38,1
28,3,333313,10,10,2,7,0,4,0,0,0,40,38,1
40,4,264262,15,10,0,2,1,4,0,0,1322,66,21,1
33,3,114645,12,10,2,4,5,2,1,0,0,25,31,1
47,3,44711,13,11,2,10,2,4,0,47768,0,46,38,1
53,3,159242,14,10,2,2,4,4,0,0,0,41,38,1
