age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
27,3,290963,14,11,4,6,2,3,1,0,0,40,38,0
36,0,183999,13,13,2,6,0,4,0,0,0,42,40,1
45,3,137931,8,12,1,11,2,2,1,0,0,33,38,0
37,3,187567,11,9,2,2,4,4,1,0,0,53,38,0
26,6,187307,3,7,3,10,2,4,1,0,0,38,38,0
44,3,348716,8,10,2,7,0,4,0,0,1902,41,38,1
26,5,111638,9,12,4,7,1,2,1,0,0,40,6,0
66,3,163999,11,9,2,7,0,4,0,0,0,39,24,1
48,4,187473,10,15,3,4,0,4,0,0,0,48,38,1
37,1,204093,2,7,4,5,2,4,1,0,0,36,38,0
37,3,223562,8,10,2,3,0,4,0,0,0,43,38,1
53,3,191628,9,11,3,2,1,4,0,0,0,38,38,1
54,3,161829,13,9,2,3,3,4,0,0,0,38,38,1
37,3,279841,9,13,2,3,0,4,0,0,1722,49,36,1
46,3,168241,11,11,0,9,0,4,0,0,0,48,38,1
43,3,162122,10,9,5,0,3,4,1,0,0,42,38,0
53,4,220797,15,10,5,11,1,4,1,0,0,59,38,0
43,0,203503,13,9,0,0,1,4,1,0,0,38,38,0
25,6,188402,5,7,4,8,1,4,1,0,0,34,38,0
31,1,283296,9,13,2,6,2,2,0,0,893,44,38,1
30,3,168409,11,9,4,6,4,3,1,0,0,30,38,0
44,3,348452,8,11,2,9,0,4,0,0,1510,41,38,1
38,3,316800,12,9,2,7,2,4,0,0,0,40,38,1
47,3,117878,15,10,2,6,2,4,0,1281,0,28,38,1
34,3,166660,9,11,2,10,2,4,0,0,0,29,38,1
38,1,299606,8,11,2,10,0,4,0,0,0,47,35,1
37,3,320951,8,10,2,6,3,4,0,0,0,49,38,1
46,7,270141,9,12,2,12,0,4,0,12992,0,56,38,1
31,3,139421,8,12,3,7,4,2,1,0,0,38,38,0
50,3,202979,11,10,1,5,3,4,1,0,0,33,38,0
46,1,171065,7,11,2,0,4,4,0,0,0,35,38,1
51,3,137724,9,11,0,5,1,4,0,0,0,38,38,1
36,3,143530,13,13,2,7,0,4,0,0,0,47,38,1
37,5,213281,11,11,2,1,2,4,0,3148,0,39,38,1
49,4,192039,9,13,2,3,0,4,0,0,0,42,38,1
54,3,117769,9,12,2,10,0,4,0,148,0,40,38,1
45,1,88189,11,12,2,7,3,4,0,0,482,40,38,1
51,3,116862,8,12,2,10,0,4,0,0,0,41,38,1
27,3,272202,9,13,4,7,2,2,1,0,0,36,38,0
55,0,24894,15,10,0,9,1,0,1,0,0,40,38,0
49,3,186547,11,13,2,9,4,4,0,0,0,49,38,1
45,2,43496,14,9,1,10,0,4,0,0,0,43,38,1
59,3,119857,14,10,2,6,0,3,0,3049,0,40,38,1
56,3,118523,11,11,2,8,0,4,0,1311,0,40,38,1
55,3,165705,11,9,2,0,4,1,1,0,0,40,40,0
42,3,218391,8,11,2,2,0,4,0,0,660,46,38,1
64,4,55983,10,12,2,9,0,4,0,16571,0,44,38,1
34,3,335870,7,11,3,11,0,2,0,12930,0,40,10,1
45,1,170984,9,11,2,0,3,4,0,0,0,36,38,1
42,3,340479,7,11,2,9,0,3,0,4385,1320,41,28,1
46,3,108870,11,9,4,2,4,2,1,0,0,40,38,0
61,3,159922,14,9,2,0,4,4,0,0,0,38,38,1
40,3,215685,11,11,0,3,0,4,0,2762,0,52,38,1
50,3,186705,11,13,2,9,4,4,0,0,0,48,38,1
45,3,144432,9,13,2,2,0,4,0,0,0,44,38,1
28,1,222980,9,12,2,8,3,4,0,0,0,28,38,1
30,3,138001,8,12,2,7,4,2,1,0,0,40,38,0
39,1,301629,8,11,2,9,0,4,0,0,0,47,38,1
34,4,164435,11,9,2,12,0,4,0,0,0,42,38,1
29,0,204753,0,6,4,3,1,4,1,0,0,39,38,0
34,3,239551,8,11,2,2,3,4,0,0,0,53,38,1
49,3,102478,11,9,2,2,0,4,0,0,1757,40,38,1
57,1,430416,0,6,2,6,4,4,0,0,117,31,38,1
40,3,213525,10,10,2,9,3,4,0,2099,0,45,38,1
28,3,164300,8,11,2,9,0,4,0,8273,0,51,38,1
40,3,143006,13,10,0,9,3,4,0,0,0,51,38,1
43,2,382689,7,11,2,8,0,4,0,0,0,38,38,1
62,3,43409,9,11,1,4,0,4,0,10177,0,42,38,1
38,3,256199,13,9,2,1,1,4,0,0,0,43,38,1
39,3,143285,13,10,0,8,2,4,0,0,0,50,38,1
53,3,117595,8,12,2,10,0,4,0,0,0,40,38,1
40,3,134909,7,11,0,11,4,3,1,0,0,36,38,0
55,2,201826,11,9,5,5,1,2,1,0,0,39,38,0
36,2,135985,9,12,1,10,2,3,1,0,0,40,38,0
49,2,95541,11,10,2,5,1,4,0,0,0,36,38,1
44,3,158473,13,11,2,4,3,4,0,0,0,46,38,1
62,3,160700,14,9,2,1,4,4,0,0,0,38,35,1
43,3,203936,10,9,2,7,0,4,0,0,0,40,38,1
42,3,167777,9,11,3,9,0,4,0,0,0,48,38,1
42,3,170493,14,9,2,2,0,4,0,0,0,42,38,1
31,3,144563,13,14,2,8,0,4,0,0,0,49,38,1
53,3,129512,10,9,0,11,1,4,1,0,0,27,38,0
34,4,165622,10,9,2,11,0,4,0,1511,0,43,38,1
31,2,288599,10,13,2,10,1,3,0,0,0,43,29,1
39,3,255266,14,9,2,1,1,4,0,0,0,44,38,1
39,4,266520,14,10,0,3,1,4,0,0,1569,69,19,1
34,2,341578,9,13,1,3,0,4,0,0,0,40,38,1
47,3,115689,8,12,2,10,0,4,0,0,0,43,38,1
46,3,164548,9,10,2,9,0,4,0,2934,0,46,30,1
35,2,301025,12,10,2,9,0,2,0,0,0,42,27,1
51,3,138162,8,12,0,4,1,3,0,0,0,44,38,1
54,3,148491,11,9,1,4,1,2,1,0,0,39,38,0
19,1,292124,6,8,4,9,3,4,1,0,0,30,38,0
