age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
50,2,84582,11,12,2,5,5,4,1,0,0,40,38,1
38,1,256879,10,11,0,8,2,2,0,0,0,40,32,0
32,1,218707,9,13,1,7,3,4,1,0,0,31,38,1
28,3,364052,8,6,2,6,0,2,0,0,0,45,38,0
38,2,205217,6,5,1,5,0,4,0,0,0,39,38,0
38,3,130700,13,10,0,3,4,4,0,0,0,40,38,0
25,3,463524,9,7,3,1,1,3,0,0,0,42,29,0
47,3,61861,10,10,1,10,0,4,0,0,0,41,38,0
33,1,258039,8,10,1,9,1,2,0,0,0,29,38,0
37,2,56407,15,10,2,10,5,4,1,4670,0,28,38,1
30,2,143734,9,13,4,10,2,3,0,0,0,40,38,0
28,3,144627,8,12,4,11,3,4,0,0,0,40,38,0
38,3,135467,10,12,2,10,1,4,1,0,1264,41,38,1
26,3,111625,7,12,2,0,5,1,1,0,0,33,23,1
31,3,182858,11,9,2,2,4,4,0,0,0,56,38,0
37,3,229791,8,6,0,6,1,4,0,0,0,37,38,0
25,3,215327,11,9,2,3,0,4,0,0,0,36,38,0
45,3,580996,3,2,2,4,0,4,0,0,0,29,26,0
23,3,218219,13,10,4,10,2,4,0,0,0,29,38,0
33,3,131294,8,12,1,8,1,4,0,0,0,40,38,0
51,4,187625,10,15,3,5,2,4,1,0,0,50,38,1
63,6,115029,13,10,2,10,0,4,0,0,0,19,38,0
49,3,87244,11,11,2,4,5,4,1,0,0,40,38,1
46,1,171125,7,11,2,0,5,4,1,0,0,35,38,1
64,4,110650,12,9,0,12,2,4,0,0,0,31,38,0
52,3,152601,8,8,5,11,1,4,0,0,0,35,38,0
21,3,173282,11,9,4,2,3,4,0,0,0,54,38,0
21,3,216192,14,9,3,9,2,4,0,0,0,27,38,0
28,3,141888,9,13,4,8,3,2,0,0,0,40,38,0
43,3,177147,10,10,2,1,3,4,1,0,0,41,38,1
44,3,169377,10,13,2,3,2,4,0,0,0,40,38,0
27,3,129970,9,11,2,4,0,4,0,0,0,40,38,0
32,3,209979,1,6,0,9,0,4,0,0,0,32,38,0
47,3,169915,11,11,2,2,0,4,0,0,0,40,38,0
45,4,74384,10,10,0,5,2,1,0,0,0,35,38,0
63,5,116188,13,9,2,12,0,4,0,1222,0,13,38,0
38,4,212559,8,12,2,5,5,4,1,0,0,28,38,1
55,6,193399,7,5,2,11,1,4,0,0,0,33,38,0
36,5,213042,9,13,1,0,4,4,1,0,0,25,38,1
33,4,81975,9,9,1,6,3,1,0,0,0,34,38,0
48,1,69527,12,13,2,9,5,4,1,1623,0,39,38,1
55,3,166239,11,9,2,0,4,1,0,0,0,41,40,0
20,6,184274,2,6,4,11,1,4,0,0,0,37,38,0
58,4,188606,10,13,4,1,2,4,1,0,0,44,38,1
34,3,161660,9,10,4,2,0,4,0,0,0,39,38,0
30,1,205277,13,9,3,1,0,3,0,0,0,40,12,0
63,3,266861,10,9,0,2,0,2,0,0,0,38,38,0
50,5,237653,15,10,4,0,3,4,0,0,0,6,38,0
37,2,55845,15,10,2,10,5,4,1,4951,0,29,38,1
40,3,167135,9,13,3,8,2,4,1,0,0,32,38,1
25,3,47397,15,10,4,8,2,4,0,0,0,40,38,0
32,3,113397,8,12,2,0,4,4,1,0,0,25,38,1
34,3,114968,12,10,2,4,5,3,1,0,0,24,32,1
48,3,245688,7,5,2,5,0,3,0,0,0,40,29,0
42,3,243839,7,6,2,5,1,4,0,0,0,36,31,0
34,4,175846,8,11,2,6,3,4,1,0,1043,29,38,1
28,3,142948,9,13,4,9,3,3,0,0,0,40,38,0
19,3,87508,9,9,4,11,3,4,0,0,0,31,38,0
41,3,217390,12,9,4,6,1,2,0,0,0,48,39,0
37,2,205307,5,5,2,5,0,4,0,0,0,40,38,0
52,4,112094,12,9,3,8,2,2,0,0,0,31,38,0
38,5,234299,10,12,4,1,1,4,0,0,0,54,38,0
27,3,260906,13,9,1,5,3,2,0,0,0,31,29,0
24,4,106823,14,10,2,10,0,4,0,0,0,41,38,0
42,1,203628,15,10,0,0,1,3,0,0,0,38,32,0
50,4,111883,11,9,3,8,3,2,0,0,0,32,38,0
41,3,116756,12,9,2,4,5,4,1,0,0,29,33,1
39,3,445647,7,6,2,6,0,2,0,0,0,46,38,0
24,6,187436,3,6,4,11,1,4,0,0,0,32,38,0
55,3,201955,10,8,5,6,0,2,0,0,0,40,38,0
47,3,171316,9,12,2,2,0,4,0,0,0,44,38,0
45,3,74198,9,12,0,11,1,4,0,0,0,41,38,0
33,4,214809,9,13,2,3,5,4,1,0,0,21,38,1
29,1,205910,12,9,3,1,1,3,0,0,0,38,10,0
24,4,107475,14,9,2,10,0,3,0,0,0,40,38,0
40,3,215735,8,12,0,4,1,4,1,0,0,43,38,1
48,1,36241,12,9,0,4,2,4,1,2566,0,38,38,1
49,3,72522,9,12,0,10,1,3,0,0,0,44,38,0
44,3,169505,9,11,3,4,1,4,0,0,0,35,38,0
55,4,110673,12,9,3,6,2,2,0,0,0,30,38,0
46,5,116196,11,11,3,6,1,4,0,0,0,28,38,0
47,3,169714,9,11,2,4,1,4,0,0,0,36,38,0
31,0,204928,1,5,4,3,0,4,0,0,0,40,38,0
36,3,248106,10,9,3,6,3,2,0,0,0,38,38,0
45,3,92555,11,11,2,4,5,4,1,0,0,40,38,1
33,3,214212,10,8,3,2,1,2,0,0,0,39,40,0
61,5,162584,9,12,2,3,0,4,0,0,0,39,38,0
