age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
39,5,65738,15,10,2,7,5,4,1,0,0,15,38,1
48,3,140782,12,14,2,3,5,4,1,0,1902,38,38,1
33,3,214635,11,9,4,2,1,2,0,0,0,40,41,0
22,3,500720,11,9,4,0,3,4,1,0,0,40,25,0
23,3,158996,15,10,2,5,0,4,0,0,0,38,38,0
55,3,308373,15,10,2,3,5,4,1,0,0,40,38,1
48,3,118889,11,9,2,11,0,4,0,2885,0,15,38,0
27,3,359155,9,13,2,9,5,4,1,0,0,40,38,1
49,3,186078,12,14,2,9,5,4,1,0,0,50,38,1
34,3,54608,15,10,4,2,1,4,0,0,0,40,38,0
35,5,233533,9,13,5,2,1,4,0,0,0,65,38,0
58,3,191069,11,9,2,11,0,4,0,0,0,40,38,1
42,3,347890,9,13,2,3,0,4,0,0,1902,50,38,1
19,3,142738,15,10,4,9,3,4,1,14084,0,20,38,1
29,3,169104,11,9,2,3,2,1,0,0,0,75,36,0
57,3,166107,11,9,2,0,5,1,1,0,0,40,41,0
20,3,131852,11,9,4,0,1,4,1,0,0,40,38,0
34,1,231826,11,9,2,9,0,4,0,0,0,40,7,0
36,3,133974,8,11,0,11,4,4,1,0,0,40,38,0
26,3,164488,9,13,4,9,1,4,0,13550,0,50,38,1
44,1,83286,12,14,2,9,5,4,1,0,0,40,38,1
36,3,133974,8,11,0,11,4,4,1,0,0,40,38,0
19,3,84747,11,9,4,11,3,4,1,0,0,24,38,0
42,3,208875,15,10,2,3,5,4,1,0,0,40,7,1
61,3,153048,11,9,6,11,1,4,1,0,0,35,38,0
31,3,176185,12,14,2,3,0,4,0,0,0,60,9,1
23,3,325179,11,9,2,11,0,4,0,0,0,40,38,1
33,3,262439,11,9,2,0,5,4,1,0,0,35,38,1
23,3,45317,15,10,5,11,3,4,1,0,0,40,38,0
67,3,267915,11,9,0,2,1,2,0,0,0,40,38,0
47,3,178341,0,6,2,6,0,4,0,0,0,46,38,1
55,3,308373,15,10,2,3,5,4,1,0,0,40,38,1
38,3,205339,6,5,2,6,0,4,0,0,0,40,38,0
75,8,114204,15,10,2,14,0,4,0,0,0,13,38,0
49,1,119904,9,13,2,9,5,4,1,7688,0,30,38,1
38,3,247547,11,9,4,7,4,2,1,0,0,40,38,0
23,3,253190,7,12,2,5,0,4,0,0,0,25,38,0
63,5,159715,0,6,2,6,0,4,0,0,0,40,38,0
53,4,220786,15,10,6,11,1,4,1,0,0,60,38,0
31,3,145139,9,13,2,2,0,4,0,0,0,40,38,1
48,1,40666,11,9,2,7,0,4,0,0,0,40,38,0
39,3,130007,15,10,0,2,4,4,0,0,0,40,38,0
46,3,370119,14,15,2,9,0,4,0,99999,0,60,38,1
29,0,204796,0,6,5,3,1,4,1,0,0,40,38,0
24,3,232328,6,5,0,7,3,4,1,0,0,35,38,0
38,4,116608,15,10,2,7,5,4,1,0,0,20,38,1
38,3,187264,11,9,2,3,5,4,1,0,0,55,38,0
44,1,83286,12,14,2,9,5,4,1,0,0,40,38,1
45,3,341995,8,11,2,9,0,4,0,0,1902,42,38,1
23,3,325179,11,9,2,11,0,4,0,0,0,40,38,1
23,3,253190,7,12,2,5,0,4,0,0,0,25,38,0
52,5,237868,15,10,4,0,4,4,0,0,0,5,38,0
24,3,210029,11,9,4,0,1,4,1,0,2001,37,38,0
45,3,108859,11,9,5,2,4,2,1,0,0,40,38,0
31,3,341632,7,12,2,12,0,2,0,0,0,46,38,0
