age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
41,3,164446,8,10,2,9,0,4,0,3574,0,48,32,1
50,3,102670,11,9,2,3,0,4,0,0,1407,38,38,1
51,1,410518,3,8,2,7,2,4,0,0,0,34,38,1
29,3,175762,9,13,3,3,0,4,0,0,0,45,36,1
27,3,111732,7,12,2,0,5,1,1,0,0,33,24,1
36,4,166509,11,9,2,12,0,4,0,0,0,42,38,1
52,3,310136,14,10,2,4,4,3,0,0,0,40,38,1
65,1,188226,10,9,5,0,3,4,1,0,0,35,38,1
43,3,169202,12,11,2,5,0,4,0,0,0,40,38,1
48,5,101287,11,9,2,0,3,4,0,0,0,38,38,1
40,3,216205,9,13,0,3,1,4,1,0,254,45,38,1
46,2,172834,12,10,2,8,5,4,1,0,0,38,38,1
42,2,304770,8,12,2,5,2,4,0,0,0,43,38,1
32,3,320441,12,9,2,8,1,4,0,0,0,40,38,1
46,3,143891,10,12,1,4,0,4,0,0,0,47,38,1
46,3,168234,11,11,0,9,0,4,0,0,0,48,38,1
39,4,166614,10,10,2,11,0,4,0,0,0,40,38,1
29,1,290560,9,13,2,7,5,2,1,0,0,40,38,1
53,3,166356,9,11,3,9,0,4,0,0,0,40,31,1
29,1,291657,8,12,2,9,3,2,0,0,0,42,38,1
55,1,27512,10,9,0,0,0,4,0,0,0,40,38,1
40,1,48445,15,10,2,12,2,4,0,3882,0,39,38,1
52,1,73822,11,13,2,9,4,4,0,1163,0,40,38,1
42,1,52352,13,10,2,11,4,4,0,9456,0,37,38,1
39,3,255275,14,9,2,1,1,4,0,0,0,44,38,1
37,3,280276,9,13,2,4,0,4,0,0,1643,49,36,1
30,1,219501,9,13,2,8,4,4,1,0,284,27,38,1
48,3,117269,9,11,2,7,2,4,0,0,0,38,34,1
55,3,55324,11,11,2,10,2,4,0,14829,0,41,38,1
59,3,140524,14,9,4,9,0,4,0,11010,0,56,38,1
51,4,117513,9,12,2,10,0,4,0,0,0,36,38,1
47,2,95393,11,10,2,5,1,4,0,0,1191,40,38,1
50,3,167917,11,13,0,8,1,4,1,0,0,38,38,1
37,1,52960,15,10,2,11,5,4,1,6395,0,33,38,1
27,1,284338,9,12,1,8,4,2,0,0,216,44,35,1
52,3,167903,11,13,0,9,0,4,0,0,0,40,37,1
36,1,301188,11,10,2,9,0,3,0,0,0,44,30,1
35,4,166116,10,9,2,12,0,4,0,247,0,40,38,1
30,1,219153,8,12,2,9,5,4,1,0,0,26,38,1
30,3,335888,9,11,2,5,0,4,0,0,0,40,38,1
52,2,101537,11,9,2,3,0,4,0,0,0,35,38,1
53,3,206239,9,13,2,9,5,4,1,0,0,35,38,1
42,3,361191,8,12,2,9,0,4,0,0,739,40,38,1
58,1,187282,11,11,4,3,4,4,1,0,0,41,38,1
56,3,104441,14,9,2,2,0,3,0,0,0,40,38,1
29,3,162735,8,11,2,9,0,4,0,4126,0,52,38,1
37,3,165728,8,12,3,9,0,4,0,2519,0,45,38,1
37,3,221975,8,12,0,3,2,4,1,0,0,47,38,1
37,3,115217,12,10,2,7,3,4,1,0,0,29,38,1
32,3,165000,9,13,2,8,4,4,0,0,0,27,38,1
30,3,112756,8,12,2,0,5,3,1,0,0,27,32,1
47,1,119477,9,12,2,8,5,4,1,6693,0,28,38,1
62,4,55053,10,12,2,9,0,4,0,15120,0,44,38,1
51,3,140246,10,13,1,3,3,4,0,0,1028,41,38,1
40,3,304240,11,11,2,5,2,3,0,0,0,40,31,1
44,3,191916,13,9,0,4,2,4,0,0,0,47,38,1
41,3,116773,12,9,2,4,5,4,1,0,0,30,33,1
51,1,33441,12,9,0,3,0,4,0,0,0,41,38,1
36,3,167778,9,11,2,9,2,4,0,0,0,39,38,1
36,3,175107,13,12,2,6,1,4,0,0,0,52,20,1
41,3,168473,11,9,1,10,0,4,0,0,0,57,38,1
51,4,187541,10,15,3,5,2,4,1,0,0,50,38,1
31,3,176135,7,11,3,3,0,4,0,0,0,45,38,1
28,7,130093,8,10,2,13,4,0,1,0,0,38,38,1
