age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
31.0,3.0,177675.0,11.0,9.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
51.0,3.0,172991.0,11.0,9.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
54.0,1.0,81232.0,12.0,14.0,2.0,9.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
54.0,1.0,104280.0,12.0,14.0,2.0,9.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
48.0,3.0,148995.0,8.0,11.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
44.0,3.0,188540.0,12.0,14.0,2.0,9.0,0.0,4.0,0.0,7688.0,0.0,46.0,38.0,1.0
45.0,3.0,129865.0,9.0,13.0,2.0,11.0,0.0,4.0,0.0,0.0,0.0,50.0,38.0,1.0
52.0,3.0,168539.0,11.0,9.0,2.0,11.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
41.0,3.0,132716.0,9.0,13.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,50.0,38.0,1.0
42.0,3.0,123838.0,12.0,14.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
37.0,3.0,185325.0,15.0,10.0,2.0,9.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
46.0,3.0,186172.0,11.0,9.0,2.0,9.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
67.0,3.0,110890.0,12.0,14.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,45.0,38.0,1.0
42.0,3.0,79531.0,9.0,13.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,55.0,38.0,1.0
36.0,3.0,184801.0,15.0,10.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,45.0,38.0,1.0
28.0,3.0,135500.0,9.0,13.0,2.0,3.0,5.0,4.0,1.0,0.0,1887.0,45.0,38.0,1.0
