age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
33.0,3.0,44942.0,9.0,13.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,50.0,38.0,1.0
50.0,1.0,138944.0,12.0,14.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,50.0,38.0,1.0
37.0,3.0,141490.0,9.0,13.0,0.0,9.0,1.0,4.0,1.0,0.0,0.0,50.0,38.0,0.0
42.0,3.0,191149.0,11.0,9.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
31.0,1.0,292465.0,15.0,10.0,2.0,9.0,0.0,4.0,0.0,0.0,0.0,50.0,38.0,1.0
31.0,3.0,287986.0,9.0,13.0,4.0,9.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
62.0,3.0,278938.0,11.0,9.0,6.0,3.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
33.0,3.0,204052.0,11.0,9.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,45.0,38.0,1.0
37.0,3.0,243409.0,11.0,9.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,45.0,38.0,1.0
34.0,3.0,247328.0,11.0,9.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,40.0,38.0,0.0
48.0,5.0,158438.0,11.0,9.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,50.0,38.0,1.0
40.0,3.0,245628.0,7.0,12.0,4.0,9.0,4.0,4.0,1.0,0.0,0.0,40.0,25.0,0.0
51.0,3.0,138852.0,8.0,11.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
31.0,3.0,117915.0,9.0,13.0,2.0,11.0,0.0,4.0,0.0,0.0,0.0,48.0,38.0,1.0
24.0,3.0,172538.0,15.0,10.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
35.0,3.0,127961.0,9.0,13.0,2.0,9.0,0.0,4.0,0.0,0.0,0.0,55.0,38.0,1.0
35.0,3.0,142922.0,11.0,9.0,4.0,7.0,3.0,2.0,1.0,0.0,0.0,30.0,38.0,0.0
21.0,3.0,117789.0,15.0,10.0,4.0,11.0,3.0,4.0,1.0,0.0,0.0,20.0,38.0,0.0
40.0,3.0,109996.0,11.0,9.0,0.0,7.0,4.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
22.0,3.0,177945.0,15.0,10.0,4.0,7.0,3.0,4.0,1.0,0.0,0.0,15.0,38.0,0.0
38.0,3.0,162424.0,12.0,14.0,2.0,9.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
42.0,3.0,206951.0,11.0,9.0,2.0,11.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
38.0,3.0,168071.0,15.0,10.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
27.0,1.0,306593.0,9.0,13.0,4.0,9.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
22.0,3.0,216811.0,15.0,10.0,2.0,11.0,2.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
50.0,3.0,187750.0,7.0,12.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,50.0,38.0,1.0
52.0,3.0,118947.0,9.0,13.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,48.0,38.0,1.0
30.0,3.0,236818.0,11.0,9.0,4.0,3.0,1.0,4.0,1.0,0.0,0.0,50.0,38.0,0.0
19.0,3.0,175121.0,15.0,10.0,4.0,7.0,2.0,4.0,1.0,0.0,0.0,16.0,38.0,0.0
27.0,3.0,134886.0,11.0,9.0,4.0,11.0,3.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
41.0,3.0,183891.0,9.0,13.0,4.0,0.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
46.0,3.0,257910.0,15.0,10.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0.0
54.0,4.0,251240.0,15.0,10.0,2.0,11.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
29.0,3.0,190539.0,9.0,13.0,2.0,11.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,1.0
21.0,3.0,24896.0,15.0,10.0,4.0,0.0,3.0,4.0,1.0,0.0,0.0,20.0,38.0,0.0
