age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
53.0,3.0,60726.0,11.0,9.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,40.0,38.0,0.0
24.0,3.0,241765.0,11.0,9.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
29.0,3.0,121287.0,1.0,7.0,4.0,10.0,1.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
36.0,3.0,181091.0,15.0,10.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
31.0,8.0,274869.0,15.0,10.0,4.0,14.0,3.0,4.0,0.0,0.0,0.0,35.0,38.0,0.0
28.0,3.0,198223.0,11.0,9.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,48.0,38.0,0.0
23.0,3.0,224954.0,15.0,10.0,4.0,11.0,1.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
42.0,3.0,223811.0,15.0,10.0,2.0,12.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
31.0,3.0,113364.0,11.0,9.0,4.0,2.0,1.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
24.0,3.0,116968.0,11.0,9.0,4.0,11.0,1.0,4.0,0.0,0.0,0.0,50.0,38.0,0.0
32.0,3.0,257250.0,11.0,9.0,4.0,6.0,3.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
23.0,3.0,238092.0,9.0,13.0,4.0,11.0,3.0,4.0,0.0,0.0,0.0,60.0,38.0,0.0
40.0,3.0,121287.0,11.0,9.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
18.0,3.0,174077.0,11.0,9.0,4.0,7.0,3.0,4.0,0.0,0.0,0.0,25.0,38.0,0.0
35.0,3.0,140564.0,11.0,9.0,4.0,5.0,1.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
48.0,3.0,141511.0,0.0,6.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
41.0,3.0,117721.0,11.0,9.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
44.0,3.0,182370.0,15.0,10.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
20.0,3.0,219835.0,15.0,10.0,4.0,2.0,1.0,4.0,0.0,0.0,0.0,32.0,38.0,0.0
66.0,8.0,140729.0,15.0,10.0,2.0,14.0,0.0,4.0,0.0,0.0,0.0,40.0,38.0,0.0
44.0,3.0,248094.0,11.0,9.0,2.0,13.0,0.0,4.0,0.0,0.0,0.0,50.0,38.0,0.0
