age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
22,3,139190,11,9,4,2,3,4,0,0,0,50,38,0
59,5,119344,0,6,2,3,5,4,1,0,0,36,38,0
65,3,95644,7,12,0,11,1,4,1,0,0,40,38,0
26,3,161007,8,11,2,5,0,4,0,0,0,80,38,0
30,1,261319,5,4,2,13,0,4,0,0,0,40,38,0
36,5,36270,11,9,0,13,1,4,0,0,0,60,38,0
25,3,206600,0,6,4,7,1,4,0,0,0,24,26,0
37,3,238433,3,2,2,13,0,4,0,0,0,40,4,0
64,3,234570,15,10,2,0,0,4,0,0,0,40,38,0
26,3,160445,11,9,0,2,1,4,0,0,0,40,38,0
38,3,167725,9,13,3,13,1,3,0,0,0,84,18,0
19,3,183041,1,7,4,5,3,4,0,0,0,24,38,0
70,5,323987,5,4,2,2,0,4,0,0,0,8,38,0
57,5,217692,11,9,6,2,1,4,1,0,0,38,38,0
38,3,235379,7,12,4,9,4,4,1,0,0,36,38,0
25,3,202033,12,14,4,3,1,4,0,0,0,45,38,0
31,3,264351,5,4,4,6,3,4,0,0,0,40,25,0
20,3,267945,15,10,4,11,3,4,1,0,0,15,38,0
28,3,188711,9,13,4,13,4,4,0,0,0,20,38,0
42,5,220647,9,13,2,4,0,4,0,0,0,45,38,0
29,3,89598,9,13,2,3,5,4,1,0,2057,35,38,0
34,3,117779,15,10,0,0,4,4,1,2977,0,65,38,0
37,3,121228,11,9,0,6,4,4,0,0,1726,50,38,0
59,1,205718,15,10,2,9,5,4,1,0,0,24,1,0
50,3,398625,1,7,6,6,1,4,1,0,0,40,38,0
39,3,123983,9,13,0,11,1,1,0,0,0,40,2,0
68,5,140892,12,14,2,13,0,4,0,0,0,15,38,0
26,6,53903,11,9,4,2,4,4,0,0,0,50,38,0
28,3,204648,11,9,5,7,4,2,1,0,0,20,38,0
36,3,732569,6,5,0,0,4,4,1,0,0,40,38,0
33,3,327902,11,9,2,11,0,4,0,3908,0,50,38,0
31,3,151763,15,10,2,6,0,4,0,0,0,40,38,0
68,1,137518,11,9,6,0,1,4,1,0,0,33,38,0
22,8,131573,15,10,4,14,3,4,1,0,0,8,38,0
41,3,223934,7,12,0,0,4,4,1,0,0,38,38,0
28,3,125791,11,9,4,0,1,4,1,0,0,40,38,0
24,3,537222,11,9,2,3,0,4,0,0,0,50,38,0
32,3,249550,15,10,4,9,1,4,0,0,0,44,38,0
51,3,96062,11,9,2,13,0,4,0,0,0,40,38,0
24,3,161638,11,9,2,6,1,4,1,0,0,40,6,0
70,4,243436,6,5,0,11,1,4,0,0,0,45,38,0
23,8,211968,15,10,4,14,3,4,1,0,0,23,19,0
49,1,321851,7,12,0,0,1,4,1,0,0,30,38,0
34,3,185480,7,12,4,0,3,4,1,0,0,40,38,0
19,3,142219,15,10,4,0,3,4,1,0,0,30,38,0
28,3,173673,4,3,4,7,1,4,1,0,0,40,25,0
37,5,218249,1,7,0,9,4,2,1,0,0,30,38,0
41,5,126094,11,9,2,3,0,4,0,0,0,38,38,0
39,3,245361,9,13,0,3,1,4,1,0,0,25,38,0
39,3,164898,11,9,2,2,0,4,0,0,0,40,38,0
53,3,209906,3,2,2,7,0,2,0,0,0,35,32,0
28,8,192257,15,10,2,14,0,4,0,0,0,5,38,0
45,3,188386,11,9,2,5,0,4,0,0,1628,45,38,0
56,3,146326,11,9,2,13,0,4,0,0,0,50,38,0
65,1,205024,11,9,2,7,0,4,0,0,0,8,38,0
59,3,296253,11,9,0,3,1,4,1,0,0,40,38,0
27,3,106316,14,15,0,9,1,4,1,0,0,12,38,0
22,3,615367,9,13,4,11,1,4,1,0,0,60,38,0
77,8,180425,12,14,2,14,0,4,0,0,0,25,38,0
28,5,214689,1,7,4,2,1,4,0,0,0,40,38,0
55,3,451603,15,10,0,2,1,4,0,0,0,40,38,0
26,3,111058,9,13,4,11,3,4,0,0,0,50,38,0
31,5,117346,15,10,2,11,0,4,0,0,0,48,38,0
31,1,378426,14,15,2,9,0,4,0,0,0,99,3,0
20,3,174714,11,9,4,5,3,4,0,0,0,40,38,0
38,3,168680,15,10,4,0,3,2,1,0,0,40,38,0
25,3,193787,15,10,4,6,3,4,1,0,0,50,38,0
33,3,105370,11,9,0,10,1,4,0,0,0,70,38,0
61,6,224638,11,9,6,0,1,4,1,0,0,40,38,0
28,3,32291,9,13,4,9,1,4,1,2174,0,40,38,0
42,6,60949,12,14,4,9,1,4,0,0,0,45,38,0
18,3,228592,11,9,4,13,3,4,0,0,0,18,38,0
38,3,108947,11,9,0,6,1,4,0,2174,0,40,38,0
32,3,144064,9,13,4,12,1,4,0,0,0,40,38,0
37,3,709445,11,9,5,2,2,2,0,0,0,40,38,0
26,3,176146,4,3,5,2,1,3,0,0,0,35,25,0
38,3,52263,9,13,4,12,1,4,0,0,0,40,38,0
33,3,123157,11,9,4,7,1,2,0,0,0,38,38,0
57,3,195835,15,10,3,0,1,4,0,0,0,40,38,0
44,3,185602,8,11,0,3,4,4,1,0,0,40,38,0
44,3,160919,11,9,0,7,4,4,1,0,0,30,38,0
45,5,58683,15,10,2,13,0,4,0,0,0,40,38,0
33,3,53042,2,8,4,2,3,2,0,0,0,40,38,0
19,3,316868,15,10,4,7,3,4,0,0,0,30,25,0
49,1,304246,12,14,5,9,4,4,1,0,0,70,38,0
42,4,50356,11,9,2,3,0,4,0,0,0,40,38,0
38,3,34996,15,10,5,7,4,4,1,0,0,40,38,0
54,3,186272,15,10,2,13,0,4,0,3908,0,50,38,0
38,3,96185,11,9,0,7,4,2,1,0,0,32,38,0
54,3,39493,8,11,2,13,0,4,0,0,0,20,38,0
32,3,242323,15,10,4,0,3,4,1,0,0,40,38,0
35,3,210844,7,12,2,3,0,4,0,0,0,40,32,0
35,3,37655,11,9,0,6,4,4,1,0,0,60,38,0
28,8,173800,9,13,3,14,1,1,1,0,0,10,35,0
19,3,64112,2,8,4,0,1,4,1,0,0,40,38,0
24,1,111450,0,6,4,2,4,2,0,0,0,65,13,0
43,3,222756,7,12,2,3,0,4,0,0,2002,44,38,0
53,3,231919,11,9,2,6,0,4,0,0,0,45,38,0
26,3,40915,9,13,4,0,1,4,1,0,0,40,38,0
46,3,171199,9,13,0,6,4,3,1,0,0,40,32,0
18,3,401051,0,6,4,11,3,4,1,0,0,35,38,0
68,3,236943,6,5,0,4,1,2,0,0,0,20,38,0
28,3,148429,11,9,2,6,0,4,0,0,0,40,38,0
18,3,447882,15,10,4,0,1,4,1,0,0,20,38,0
49,3,83622,7,12,5,0,1,4,1,2597,0,40,38,0
46,3,309212,11,9,0,8,1,4,1,0,0,25,38,0
69,5,92472,0,6,3,4,1,4,0,3273,0,45,38,0
32,3,154950,14,15,4,9,1,4,0,0,0,40,38,0
72,3,298070,8,11,5,7,4,4,1,6723,0,25,38,0
31,3,50753,15,10,2,2,0,4,0,0,0,70,38,0
20,3,103840,11,9,4,6,3,4,1,0,0,42,38,0
48,3,259873,15,10,2,3,0,4,0,0,0,50,38,0
28,3,186720,15,10,4,7,3,4,1,0,0,50,38,0
29,5,183151,11,9,2,13,0,4,0,0,0,48,38,0
33,3,161035,1,7,2,2,0,4,0,0,0,49,38,0
31,6,29152,2,8,2,7,5,4,1,0,0,40,38,0
38,3,65624,15,10,2,0,0,4,0,0,0,45,38,0
18,3,675421,6,5,4,5,3,4,0,594,0,40,38,0
40,5,184804,12,14,0,9,1,4,1,0,2205,45,38,0
21,8,234838,15,10,4,14,3,4,0,0,0,30,38,0
22,1,273989,9,13,4,9,1,4,0,0,0,40,38,0
26,3,59306,9,13,4,11,1,4,0,0,0,40,38,0
51,3,85942,15,10,0,11,1,4,1,0,0,32,38,0
36,3,247750,11,9,2,13,0,2,0,0,0,45,38,0
39,5,152587,11,9,4,2,3,4,0,0,0,40,38,0
23,3,368739,9,13,4,0,1,4,1,0,0,40,38,0
24,3,126568,9,13,2,7,0,4,0,0,0,33,38,0
31,3,86958,6,5,2,3,5,4,1,0,0,40,38,0
53,3,214868,8,11,4,0,2,2,1,0,2001,40,38,0
34,3,232475,15,10,0,3,1,4,0,0,0,50,38,0
45,3,347025,5,4,6,7,4,4,1,0,0,21,38,0
18,3,64253,1,7,4,11,3,2,1,0,0,20,38,0
53,3,88725,11,9,4,2,1,3,1,0,0,40,41,0
31,5,152351,8,11,2,11,0,4,0,0,0,48,38,0
24,3,183594,11,9,4,0,2,4,0,0,0,40,38,0
61,5,352448,9,13,2,13,0,4,0,0,0,60,38,0
17,3,250541,0,6,4,7,3,2,0,0,0,20,38,0
24,3,161092,9,13,4,3,1,4,0,0,0,40,38,0
25,3,204219,11,9,4,0,4,4,1,0,0,40,25,0
40,3,379917,8,11,4,13,1,4,0,0,0,32,38,0
46,3,155933,9,13,4,6,1,4,1,0,1602,8,38,0
39,3,70240,4,3,3,7,4,1,1,0,0,40,29,0
35,6,483530,15,10,0,12,4,4,1,0,0,40,38,0
19,3,121074,5,4,2,2,0,4,0,0,0,99,38,0
35,3,82552,7,12,2,12,0,4,0,0,0,40,38,0
52,3,24185,11,9,0,2,4,4,0,0,0,84,38,0
27,3,192936,9,13,4,3,1,4,1,0,0,30,38,0
28,3,230997,11,9,4,11,3,4,1,0,0,60,38,0
30,3,366065,15,10,4,2,4,2,0,0,0,40,38,0
20,8,184271,7,12,4,14,3,4,1,594,0,20,38,0
18,3,171088,15,10,4,11,3,4,1,0,0,10,38,0
21,3,62339,0,6,4,5,1,4,0,0,0,40,38,0
17,4,151999,2,8,4,0,3,4,1,0,0,16,38,0
66,3,140576,5,4,2,2,0,4,0,0,0,40,38,0
34,3,112584,0,6,0,7,4,4,1,0,0,38,38,0
21,3,222993,11,9,4,6,3,4,0,0,0,40,38,0
31,3,257849,11,9,2,3,0,4,0,0,0,40,38,0
42,5,183765,7,12,2,11,0,4,0,0,0,40,41,0
24,1,33432,7,12,2,7,5,4,1,0,0,40,38,0
26,3,410240,1,7,4,2,1,4,0,0,0,40,38,0
78,8,27979,11,9,2,14,0,4,0,2228,0,32,38,0
23,3,43150,9,13,4,9,1,4,0,0,0,40,38,0
67,1,330144,8,11,2,10,0,4,0,0,0,18,38,0
32,6,481096,4,3,4,6,3,4,1,0,0,10,38,0
42,1,281315,9,13,4,9,1,4,0,0,0,50,38,0
20,8,235442,15,10,4,14,3,4,0,0,0,35,38,0
27,3,118799,11,9,0,0,1,4,1,0,0,40,38,0
22,3,203894,15,10,4,13,1,4,1,0,0,24,38,0
30,1,79190,9,13,4,9,1,4,1,0,0,40,38,0
42,3,91585,15,10,6,12,4,4,1,0,0,40,38,0
22,3,311311,15,10,4,7,1,4,0,0,0,60,38,0
38,3,107302,11,9,2,3,0,4,0,0,0,50,38,0
78,3,182977,11,9,6,7,1,2,1,2964,0,40,38,0
23,8,243190,15,10,4,14,3,1,0,0,0,20,2,0
32,6,190577,9,13,4,9,3,4,1,0,0,40,38,0
74,5,119129,11,9,2,11,0,4,0,0,2149,20,38,0
44,3,210525,9,13,2,2,0,4,0,0,0,40,38,0
21,3,200121,11,9,4,5,3,4,0,0,0,40,38,0
28,1,356089,9,13,4,9,2,4,0,0,0,50,38,0
25,3,202091,11,9,4,3,3,4,1,0,0,40,38,0
24,3,228649,9,13,4,0,3,4,0,0,0,38,38,0
25,3,330774,6,5,2,6,0,4,0,0,0,40,38,0
34,3,242361,15,10,2,9,0,2,0,0,0,50,38,0
40,3,43711,11,9,4,6,1,4,0,0,0,45,38,0
51,5,174102,9,13,2,11,0,4,0,0,0,8,38,0
43,1,598995,9,13,0,9,4,2,1,0,0,42,38,0
26,8,431861,0,6,5,14,1,4,0,0,0,40,38,0
17,3,194946,1,7,4,7,3,4,1,0,0,20,38,0
17,3,93511,1,7,4,11,3,4,1,0,0,15,38,0
53,5,257940,5,4,2,6,0,4,0,0,0,40,38,0
52,3,84451,8,11,0,7,1,4,0,0,0,32,38,0
56,4,42298,6,5,2,3,0,2,0,0,0,40,38,0
30,3,373914,1,7,2,2,0,4,0,0,0,40,38,0
58,3,292710,7,12,0,9,1,4,0,0,0,36,38,0
81,8,120478,8,11,0,14,4,4,1,0,0,1,41,0
23,3,47541,11,9,2,6,0,4,0,0,0,50,38,0
46,3,174928,11,9,0,0,1,4,0,0,0,40,32,0
42,3,226452,6,5,4,6,2,4,1,0,0,40,25,0
27,3,199118,15,10,4,0,1,4,1,4865,0,40,38,0
25,6,120041,9,13,4,9,1,4,1,0,0,40,38,0
33,3,529104,1,7,2,5,0,4,0,0,0,50,38,0
23,3,57898,15,10,4,4,1,4,0,0,0,30,38,0
55,3,147653,11,9,4,7,1,4,1,0,0,24,38,0
34,3,242704,11,9,4,12,3,2,0,0,0,40,38,0
26,3,231638,11,9,4,3,3,4,1,0,0,40,38,0
49,3,239865,1,7,2,13,0,4,0,0,0,40,38,0
28,0,341709,11,9,4,2,1,4,0,0,0,40,38,0
49,5,349151,11,9,2,3,0,4,0,3411,0,40,38,0
25,3,73895,11,9,4,7,3,4,1,0,0,10,38,0
37,3,338033,12,14,4,9,1,4,1,0,0,40,38,0
56,8,188166,11,9,2,14,0,4,0,0,0,40,38,0
29,3,231507,11,9,4,2,1,4,0,0,0,35,38,0
25,3,198512,9,13,4,3,1,4,1,0,0,40,38,0
35,3,258657,7,12,2,2,0,4,0,0,0,60,38,0
