age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
42,3,24364,15,10,2,7,5,2,1,0,0,30,38,0
63,3,546118,15,10,2,3,0,4,0,0,0,35,38,1
22,6,157332,15,10,4,7,3,4,1,0,0,15,38,0
22,3,317019,15,10,4,7,1,4,1,0,0,30,38,0
20,3,228306,11,9,4,12,3,4,1,0,0,32,38,0
53,3,187492,9,13,0,2,1,1,1,0,0,40,29,0
17,3,28544,1,7,4,11,1,4,1,0,0,20,38,0
24,3,117363,9,13,4,11,3,4,1,0,0,35,38,0
17,3,160029,1,7,4,7,2,4,1,0,0,22,38,0
47,1,191389,11,9,0,0,4,4,1,0,0,35,38,0
29,3,170301,11,9,2,0,5,4,1,2829,0,40,38,0
30,3,302473,11,9,4,0,3,4,1,0,0,40,38,0
17,3,153021,2,8,4,11,3,4,1,0,0,20,38,0
54,3,302146,11,9,5,7,4,2,1,0,0,20,38,0
38,3,99233,14,15,4,3,1,4,0,0,0,40,38,1
59,8,145574,7,12,2,14,0,4,0,0,0,35,38,1
28,3,175431,6,5,0,9,1,2,1,0,0,40,38,0
44,4,153132,9,13,2,3,0,4,0,7688,0,52,38,1
34,3,176673,15,10,4,11,2,2,1,0,0,35,38,0
70,8,28471,6,5,6,14,4,4,1,0,0,25,38,0
57,4,220789,11,9,2,11,0,4,0,0,0,45,38,1
45,6,185797,15,10,4,12,1,4,1,3325,0,60,38,0
43,3,409922,9,13,2,3,0,4,0,0,1977,50,38,1
46,1,111558,15,10,0,6,3,4,1,0,0,40,38,0
18,3,256967,0,6,4,11,2,2,1,0,0,40,38,0
28,1,154863,6,5,2,2,0,2,0,0,0,40,37,1
27,3,33429,15,10,0,0,4,4,1,0,0,40,38,0
34,3,173730,9,13,2,3,0,4,0,0,0,50,38,1
41,8,307589,9,13,2,14,5,1,1,0,0,5,29,0
51,8,182543,3,2,5,14,4,4,1,0,0,40,25,0
33,3,212980,11,9,0,0,4,2,1,0,0,40,38,0
20,3,206681,2,8,4,11,1,4,1,0,0,55,38,0
20,3,270517,11,9,4,7,3,4,1,0,0,40,25,0
22,3,126613,15,10,4,11,3,4,1,0,0,20,38,0
40,3,140559,11,9,6,7,4,4,1,0,0,25,38,0
18,3,205218,1,7,4,11,3,4,1,0,0,20,38,0
40,3,408717,11,9,2,2,0,4,0,0,0,40,38,1
25,3,207965,9,13,4,7,1,4,1,0,0,60,38,0
40,1,34739,15,10,2,3,5,4,1,0,0,36,38,0
49,4,211020,10,16,2,9,0,4,0,15024,0,50,38,1
48,4,181307,11,9,2,2,0,4,0,0,0,60,38,1
36,8,168223,9,13,4,14,3,4,1,0,0,40,38,0
50,1,66544,12,14,0,9,4,4,1,0,0,65,38,0
61,0,229062,15,10,2,0,0,4,0,0,1887,40,38,1
39,1,164515,11,9,0,0,4,4,1,0,0,40,38,0
57,3,151474,11,9,0,5,2,4,1,0,0,40,38,0
21,3,67244,11,9,4,11,4,4,1,0,0,40,38,0
34,1,234096,7,12,2,9,0,4,0,0,0,40,38,1
31,3,157886,15,10,2,7,5,4,1,0,0,40,38,0
18,3,265099,1,7,4,7,3,4,1,0,0,16,38,0
27,7,35034,11,9,4,4,3,4,1,0,0,40,38,0
41,1,185057,11,9,0,3,4,4,1,0,0,40,38,0
40,3,222504,8,11,4,9,3,4,1,0,0,36,38,0
32,5,410615,11,9,2,13,0,4,0,0,1887,60,38,1
58,3,250206,0,6,2,2,0,4,0,5178,0,40,38,1
46,3,105253,12,14,2,9,0,4,0,0,1977,50,38,1
50,3,135643,11,9,2,6,2,1,1,0,0,40,2,0
35,4,111319,7,12,2,11,0,4,0,0,1887,45,38,1
38,3,275338,9,13,0,11,4,4,1,1151,0,40,38,0
19,3,219742,15,10,4,7,3,4,1,0,0,15,38,0
25,5,195000,15,10,0,9,1,4,1,0,0,40,38,0
21,3,193219,11,9,4,0,3,2,1,0,0,35,22,0
64,3,262645,11,9,2,11,0,4,0,0,0,50,38,1
46,5,254291,15,10,2,11,0,4,0,0,0,60,38,1
