long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
1,12.951752294526711,5.325876147263355,1,0,0,0,1
0,12.957516311595093,5.578758155797546,0,0,0,0,1
1,14.927636782443823,6.6368490432584295,1,1,1,1,0
1,14.966182083726734,6.688242778302311,1,1,1,1,0
1,12.899760184446405,7.1,1,1,1,1,0
0,13.244767548561418,5.1,0,0,0,0,1
0,12.689307439755275,5.832077680734173,1,1,1,1,0
0,12.9910516009932,5.608948399006799,0,0,0,0,1
1,11.426246006888105,5.930010648298388,0,1,0,0,1
0,15.229715695821772,5.4,1,1,1,1,0
0,12.2,6.0660338050199645,1,1,0,1,0
1,12.393111873774991,5.493111873774992,1,0,0,1,1
1,12.71749666631116,5.139165555437053,0,0,0,0,1
0,13.836616492943307,5.1,0,0,0,0,1
1,11.833307305864219,5.994422754886849,1,1,1,1,0
1,13.23142040774642,6.2571020387321,1,1,1,1,0
1,12.459028855552457,5.5393525703683055,1,1,1,1,0
1,12.389610436500044,7.077597390874988,1,1,1,1,0
0,11.672740480751166,6.892037199530521,1,1,1,0,0
0,13.140644991049566,5.962579964198265,0,0,0,0,1
1,12.770467738062658,5.54134516671228,1,0,0,0,1
0,15.232179345827323,5.366435869165465,1,1,1,0,0
1,14.932772609897302,6.643696813196403,1,1,1,0,0
1,12.471240346640368,5.3,0,0,0,0,1
0,15.24577493673822,5.64577493673822,1,1,1,1,0
1,13.555765121632973,6.0278825608164865,0,0,0,0,1
1,13.320734877991878,5.710367438995939,0,0,0,0,1
0,13.888806888547599,5.1279827786310035,0,0,0,0,1
0,11.753948887257788,5.817982962419263,1,1,1,1,0
1,13.89598491187055,6.90401508812945,1,1,1,1,0
1,11.7,5.301403656314141,0,0,0,0,1
1,13.388265343913467,6.061033167989184,0,0,1,0,1
1,12.007219665581031,6.938402458197629,1,0,0,1,0
0,12.43757359007844,7.047514718015688,1,1,1,0,0
1,11.4,5.732513376068775,0,0,0,0,1
0,13.374261198591611,6.2772164042251655,0,0,1,1,0
0,12.307496463462213,5.50562234759666,1,1,0,1,0
0,15.220804665426627,5.620804665426626,1,1,1,1,0
1,12.7,7.0,1,1,0,1,0
1,13.809788165514261,5.98783053241141,0,0,0,0,1
1,13.064192900691719,6.6,1,1,0,0,0
0,14.38633042864354,5.686330428643539,1,1,1,1,0
