long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
1,12.964384097961814,5.3321920489809065,1,0,0,0,1
0,11.5,5.732732009667816,0,0,0,1,1
0,13.760739693825789,5.448150765435527,0,0,0,0,1
0,13.3,6.5,0,0,0,0,1
1,13.361392542688844,5.134086779615879,0,0,0,0,1
0,11.50130843487342,5.709159044113948,0,0,0,1,1
1,13.557662219337717,5.994891853774857,0,0,0,0,1
1,13.465564724375236,6.056290183749843,0,0,0,0,1
0,13.995913805634482,5.514279327888274,0,0,0,0,1
0,11.905648204815757,6.197175897592122,0,0,0,0,1
1,11.49192415409246,5.908075845907539,0,0,0,0,1
1,11.795239517406396,5.4047604825936055,0,0,0,0,1
0,13.7,5.510320155224835,0,0,0,0,1
0,12.46904024717877,5.5226006179469245,0,0,0,1,1
0,13.493753207913638,6.112493584172722,0,0,0,0,1
0,11.4102134545079,6.0948932727460505,0,0,0,0,1
1,13.709212843561623,6.0,0,0,0,0,1
1,13.641961678538973,6.0,0,0,0,0,1
1,12.9,5.270141124371171,0,0,0,0,1
0,11.4,6.185216269357384,0,1,0,0,1
0,12.002410479287311,5.801205239643656,1,0,0,0,1
1,13.20470203129948,5.233855781255498,0,0,0,0,1
0,13.358443043655658,6.441556956344343,0,0,0,0,1
0,12.0,5.634021376402415,0,0,0,0,1
1,12.382435253870026,6.117564746129975,1,1,0,0,1
0,13.500552242229238,5.701104484458476,0,1,0,0,1
1,14.2,6.3662107855406544,0,0,0,0,1
0,12.701430748979424,5.5,0,0,0,0,1
1,12.854098563530185,5.338524640882546,0,0,0,0,1
1,13.726009456294726,5.15040378251789,0,0,0,0,1
0,12.509883088282336,5.5,0,0,0,0,1
0,13.350420757670095,6.4495792423299045,0,0,0,0,1
1,13.721846828919688,5.140615609639895,0,0,0,0,1
1,13.965855716163563,6.165855716163566,0,0,0,0,1
1,11.922234192854528,5.412223419285453,1,0,0,0,1
1,12.97046714798598,6.3523357399299,0,0,1,0,1
0,13.479948218195949,6.140103563608102,0,0,0,0,1
1,13.709784581134707,5.860861675461165,0,0,0,0,1
1,11.4,6.487347409599873,0,0,0,0,1
1,12.074675876949538,5.4,1,0,0,0,1
0,13.282291602846918,6.282291602846919,0,0,0,0,1
1,12.09453834507573,6.3,0,0,0,1,1
0,12.643326440205104,5.808316100512758,1,0,0,0,1
1,11.671256709039817,6.105508050847779,0,0,0,0,1
