long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
1,12.080461170102534,5.260922340205068,1,1,1,0,0
0,13.389331361577344,6.410668638422658,0,0,0,0,1
0,11.761578031572055,5.695368787371177,0,0,0,0,1
1,13.322147715498495,6.608859086199399,1,1,1,1,0
1,12.37672932782136,5.85345865564272,1,1,1,1,0
1,11.5,5.803154457534745,1,1,1,1,0
1,15.2,6.854288310099379,1,1,1,0,0
1,12.297193310113377,6.959719331011338,1,0,0,1,0
1,13.467064135546162,5.88634869156307,0,1,1,1,0
1,12.9,7.040152046552536,1,1,1,0,0
0,12.462989521884406,5.5,0,0,0,0,1
0,13.3,6.5,0,0,0,0,1
0,13.698571218778543,5.600714390610727,0,0,0,0,1
0,12.7155194332964,5.655194332963999,0,0,0,1,1
1,13.340704560719942,6.650880700899926,1,1,1,1,0
1,12.150839049950614,7.1,1,1,1,1,0
0,12.023812207142775,5.7190610357138745,0,0,0,0,1
0,11.738193516124271,6.167638703224855,0,0,0,0,1
1,12.886911598671098,6.752353605315607,1,1,1,0,0
0,13.35756260134513,6.360609349663717,0,0,0,1,1
0,11.938346421411438,5.919173210705719,0,0,0,0,1
0,13.46493566432428,6.170128671351439,0,0,0,0,1
1,13.271219088175211,5.295572167411571,1,1,1,0,0
0,13.063683763811168,5.493860393648053,0,0,0,0,1
1,14.557513390296196,5.476475897466845,1,0,1,0,0
1,15.2,6.955699843798162,1,1,1,1,0
1,15.01374341337518,5.668717066875907,1,1,1,1,0
0,12.71586231176606,6.0365507529357565,0,0,0,1,1
0,11.524146337406023,5.824146337406023,0,0,0,0,1
0,13.424338327926062,6.326985016221817,0,0,0,0,1
1,11.730281626596712,5.539436746806575,0,1,1,1,0
0,13.597029342307776,5.85742664423056,0,0,0,0,1
1,11.953813554099984,5.192372891800034,1,1,1,0,0
0,11.90547870281757,5.610957405635139,1,0,0,0,1
1,13.396648499955472,6.32942324994805,1,1,1,1,0
0,13.057489485111926,6.435627628722019,0,0,0,1,1
1,15.2,6.938904899357115,1,1,1,1,0
1,13.586516900359392,6.714606760143756,1,1,1,1,0
1,12.870819593797254,6.816721624810985,1,1,1,0,0
1,12.264713386538508,5.2450955378204975,1,0,1,1,0
1,13.42367299939436,6.649469199757744,1,1,1,1,0
0,14.119980637707377,6.129970956561064,0,0,0,0,1
0,12.727254148757812,6.47575138291927,0,0,0,0,1
1,12.628229663829066,6.641148319145332,1,1,1,1,0
0,11.499949001098406,5.800152996704783,0,0,0,0,1
0,13.315712011039825,6.315712011039825,0,0,0,0,1
0,12.65421444763068,6.118314220947728,0,0,0,1,1
1,12.688586994814832,7.0,1,0,0,1,0
1,14.914669624353325,5.868337030441653,1,1,1,1,0
0,13.332251269504996,6.435497460990006,0,0,0,0,1
0,12.193940556129466,5.535353147956845,0,0,0,0,1
0,13.307990473114394,5.678401905377121,0,0,0,0,1
1,11.752236950807855,5.647763049192142,1,1,1,1,0
0,11.624034701522673,6.144806940304535,0,0,0,0,1
0,13.335701402092772,5.7,0,1,0,0,1
0,12.882336600865948,5.370653596536211,0,0,0,1,1
0,13.27265600829172,5.7,0,0,0,0,1
1,12.58589316531324,7.0,1,0,0,1,0
