fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.4,0.25,0.49,1.6,0.048,26.0,108.0,0.9937,3.04,0.52,10.9666666666667,7.0
8.9,0.23,0.32,7.8,0.045,35.0,169.0,0.99555,3.0,0.33,10.1,6.0
7.4,0.19,0.28,9.5,0.044,67.0,210.0,0.99216,3.27,0.63,10.5,6.0
7.0,0.28,0.23,5.15,0.057,24.0,151.0,0.99527,3.26,0.48,10.0,5.0
7.6,0.105,0.32,1.4,0.035,16.0,104.0,0.99142,3.14,0.55,9.3,6.0
7.7,0.27,0.24,5.1,0.047,26.0,108.0,0.9963,3.36,0.47,10.1,6.0
6.4,0.27,0.24,1.6,0.03,43.0,117.0,0.9887,3.06,0.32,9.5,6.0
8.3,0.12,0.3,1.5,0.038,23.0,116.0,0.99534,3.25,0.45,9.8,5.0
7.6,0.3,0.49,1.6,0.042,16.0,111.0,0.99388,3.14,0.4,10.5,6.0
6.1,0.23,0.24,6.3,0.047,41.0,117.0,0.9942,3.29,0.47,11.2,6.0
7.6,0.35,0.26,5.4,0.053,57.0,161.0,0.9977,2.99,0.5,10.2,5.0
7.0,0.18,0.26,6.85,0.035,37.0,133.0,0.99216,3.11,0.5,9.5,6.0
6.3,0.25,0.39,1.4,0.051,26.0,106.0,0.9941,3.23,0.4,10.7,5.0
7.7,0.16,0.32,7.8,0.048,74.0,184.0,0.99059,3.11,0.41,11.0,5.0
7.9,0.16,0.42,12.0,0.048,30.0,220.0,0.99288,2.99,0.59,9.5,5.0
7.6,0.27,0.34,1.6,0.06,34.0,128.0,0.99555,3.5,0.48,12.2,7.0
8.7,0.19,0.32,15.55,0.045,53.0,180.0,0.99261,2.99,0.56,9.5,5.0
7.6,0.285,0.29,1.5,0.05,29.0,86.0,0.9966,3.05,0.35,9.3,7.0
5.9,0.19,0.86,14.0,0.174,27.0,191.0,0.99787,2.99,0.5,8.8,8.0
7.6,0.22,0.26,8.3,0.053,67.0,210.0,0.99636,3.14,0.55,9.5,5.0
7.2,0.19,0.49,1.8,0.034,30.0,146.0,0.99334,2.96,0.32,10.0,7.0
5.16,0.24,0.29,5.2,0.036,52.0,189.0,0.9911,3.19,0.39,9.0,8.0
7.1,0.24,0.28,1.5,0.028,23.0,131.0,0.99184,3.32,0.54,10.1,4.0
6.0,0.17,0.31,1.0,0.036,21.0,106.0,0.99658,3.25,0.39,10.0,7.0
8.7,0.17,0.32,1.1,0.033,50.0,199.0,0.99168,3.18,0.41,10.5,7.0
5.2,0.285,0.29,1.1,0.023,16.0,104.0,0.9895,3.24,0.54,10.6,7.0
7.9,0.25,0.3,1.5,0.049,66.0,272.0,0.9949,3.14,0.47,10.7,5.0
6.3,0.3,0.49,1.4,0.049,30.0,149.0,0.99059,3.17,0.49,9.5,6.0
7.1,0.23,0.24,1.2,0.023,38.0,124.0,0.9898,3.18,0.43,11.0,5.0
6.8,0.23,0.35,5.2,0.037,25.0,151.0,0.9961,3.14,0.47,10.5,7.0
6.4,0.3,0.26,1.6,0.049,61.0,134.0,0.994,3.14,0.37,10.7,5.0
6.3,0.54,0.14,2.0,0.043,20.0,69.0,0.9937,3.27,0.51,10.2,7.0
7.6,0.18,0.34,1.5,0.043,21.0,106.0,0.99296,3.04,0.5,10.4,5.0
7.4,0.24,0.32,1.4,0.023,21.0,106.0,0.98958,3.18,0.54,10.7,7.0
6.3,0.22,0.26,1.6,0.023,55.0,122.0,0.98958,3.38,0.6,9.5,7.0
8.3,0.3,0.33,7.7,0.03,16.0,111.0,0.9887,3.36,0.3,10.5,5.0
7.4,0.23,0.49,10.5,0.059,61.0,209.0,0.9941,3.26,0.3,9.4,7.0
7.5,0.16,0.39,1.4,0.065,48.0,224.0,0.9937,3.06,0.5,9.3,5.0
6.8,0.27,0.26,5.0,0.05,53.0,180.0,0.99534,3.12,0.5,9.5,5.0
6.7,0.29,0.41,1.5,0.048,53.0,138.0,0.99084,3.09,0.59,11.5,5.0
6.4,0.29,0.29,1.4,0.045,54.0,166.0,0.99382,3.17,0.59,9.5,5.0
6.1,0.22,0.26,1.6,0.028,22.0,61.0,0.99434,3.14,0.55,10.7,7.0
7.1,0.22,0.32,1.4,0.041,41.0,107.0,0.9963,3.17,0.55,10.1,7.0
7.3,0.23,0.91,1.4,0.174,17.0,105.0,0.99288,3.14,0.5,10.7,7.0
7.9,0.42,0.39,8.2,0.051,49.0,226.0,0.9937,3.29,0.6,9.2,6.0
6.6,0.47,0.14,1.6,0.043,27.0,91.0,0.9938,3.25,0.51,10.2,7.0
5.9,0.2,0.49,5.8,0.048,27.0,146.0,0.9898,3.27,0.42,12.4,7.0
7.1,0.3,0.39,1.5,0.036,40.0,124.0,0.99084,3.26,0.32,10.7,6.0
5.9,0.19,0.26,1.8,0.028,42.0,140.0,0.994,3.34,0.66,10.8,8.0
6.4,0.285,0.29,15.6,0.042,30.0,124.0,0.9893,3.18,0.35,9.5,5.0
7.1,0.17,0.39,1.6,0.036,38.0,124.0,0.9908,3.25,0.43,12.2,7.0
6.4,0.25,0.32,1.6,0.045,61.0,134.0,0.99261,3.17,0.47,9.8,7.0
6.9,0.27,0.29,6.4,0.048,49.0,117.0,0.9938,3.15,0.6,10.5,7.0
7.1,0.16,0.39,1.6,0.052,53.0,138.0,0.9942,3.25,0.5,11.4,7.0
7.9,0.22,0.32,8.2,0.041,74.0,184.0,0.99527,3.17,0.55,9.5,6.0
7.6,0.25,0.26,11.6,0.033,21.0,145.0,0.9972,3.34,0.51,9.2,5.0
6.9,0.29,0.7,5.4,0.045,23.0,122.0,0.9908,3.09,0.39,11.0,6.0
7.6,0.25,0.37,1.6,0.041,14.0,63.0,0.993,3.11,0.52,12.2,6.0
5.1,0.24,0.26,8.3,0.033,16.0,111.0,0.9887,3.36,0.54,10.1,8.0
7.4,0.35,0.26,1.4,0.053,42.0,140.0,0.99188,3.39,0.6,10.1,5.0
7.6,0.23,0.33,1.5,0.065,34.0,128.0,0.9941,3.06,0.45,9.3,6.0
7.4,0.12,0.32,1.9,0.041,20.0,57.0,0.9949,3.17,0.5,10.5,7.0
8.7,0.27,0.42,17.85,0.044,52.0,180.0,0.9949,2.99,0.47,11.2,5.0
7.5,0.22,0.34,1.6,0.046,74.0,184.0,0.9937,3.14,0.5,10.7,6.0
7.1,0.3,0.24,1.8,0.036,41.0,107.0,0.9941,3.29,0.32,10.2,6.0
7.6,0.18,0.35,10.6,0.035,24.0,151.0,0.99178,3.07,0.55,9.2,5.0
7.0,0.23,0.23,10.3,0.045,28.0,124.0,0.99216,3.09,0.39,9.2,5.0
6.3,0.24,0.25,1.9,0.057,61.0,134.0,0.9941,3.21,0.42,10.2,5.0
7.7,0.16,0.21,1.5,0.041,23.0,116.0,0.9966,3.29,0.55,12.2,7.0
